,公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG,ESG_ByPR
31,南亞,塑膠工業,1303,64,64,74,14,24,4,44,9,84,99,94,19,4,4,89,4,39,14,24,49,9,4,9,9,84,1,1,1,1,37
32,台聚,塑膠工業,1304,94,99,84,24,9,89,89,39,34,79,34,54,34,99,69,34,4,94,89,39,14,59,69,74,64,1,1,1,1,59
33,華夏,塑膠工業,1305,49,54,59,34,19,14,19,19,64,89,44,39,24,84,79,39,9,89,84,44,19,54,34,39,69,1,1,1,1,47
34,三芳,塑膠工業,1307,34,34,34,64,44,44,34,54,9,4,19,64,69,64,19,74,14,84,79,24,24,39,64,49,9,1,1,1,1,42
35,亞聚,塑膠工業,1308,79,79,79,19,14,74,79,49,59,9,69,69,39,34,54,44,19,79,74,64,29,89,84,84,74,1,1,1,1,58
36,台達化,塑膠工業,1309,74,74,69,29,54,69,74,34,69,14,64,59,44,79,39,49,99,19,34,59,89,84,29,34,54,1,1,1,1,56
37,台苯,塑膠工業,1310,54,49,54,39,59,29,4,29,54,19,59,34,59,74,49,19,24,69,69,94,34,79,19,24,49,1,1,1,1,46
38,國喬,塑膠工業,1312,99,94,99,4,74,59,64,24,14,24,54,29,84,69,24,64,29,24,9,19,39,64,24,19,14,1,1,1,1,45
39,聯成,塑膠工業,1313,89,89,64,49,89,34,9,64,19,29,49,44,89,59,29,24,34,64,64,69,44,19,44,54,19,1,1,1,1,50
40,中石化,塑膠工業,1314,59,59,49,44,29,49,49,14,94,39,79,24,29,24,99,54,44,29,29,9,0,0,14,14,99,1,1,1,1,41
41,達新,塑膠工業,1315,29,29,29,74,94,39,24,94,79,34,74,84,99,49,59,59,79,54,54,29,54,94,89,94,79,1,1,1,1,63
42,大洋,塑膠工業,1321,39,39,39,54,39,19,14,99,74,69,9,94,54,44,84,29,84,9,4,34,59,69,74,79,59,1,1,1,1,51
43,永裕,塑膠工業,1323,19,19,24,79,69,54,29,59,89,44,84,99,64,94,94,14,89,44,44,79,64,99,94,99,89,1,1,1,1,65
44,地球,塑膠工業,1324,24,14,14,84,79,64,59,89,99,49,4,79,74,39,64,94,49,49,49,84,69,44,99,89,94,1,1,1,1,62
45,恆大,塑膠工業,1325,0,0,0,99,99,79,69,74,39,54,39,89,79,29,74,79,54,0,0,54,99,29,49,59,34,1,1,1,1,51
46,台化,塑膠工業,1326,84,84,94,0,4,24,54,0,4,74,89,0,9,0,4,9,59,34,39,4,74,49,0,0,0,1,1,1,1,32
47,再生-KY,塑膠工業,1337,9,9,9,89,49,84,84,84,44,59,29,14,19,19,14,84,64,74,94,14,79,24,59,69,39,1,1,1,1,49
48,勝悅-KY,塑膠工業,1340,4,4,4,94,0,94,94,79,49,64,24,9,14,14,9,89,69,39,14,74,84,34,54,64,44,1,1,1,1,45
49,富林-KY,塑膠工業,1341,44,44,44,59,64,0,0,69,29,84,0,74,94,54,44,69,74,59,59,89,4,14,39,44,29,1,1,1,1,47
50,炎洲,塑膠工業,4306,14,24,19,69,84,99,99,44,24,0,14,49,49,89,34,99,0,99,99,99,94,74,79,29,24,1,1,1,1,56
51,上曜,建材營造,1316,53,69,5,85,25,99,99,73,53,97,99,33,79,87,35,79,0,99,99,57,37,99,0,71,21,1,1,1,1,62
52,華友聯,建材營造,1436,31,29,37,43,27,5,0,99,43,1,59,49,93,63,33,29,71,79,79,43,31,41,21,49,7,1,1,1,1,42
53,三地開發,建材營造,1438,1,1,0,97,89,27,25,67,0,35,57,5,15,35,11,53,39,25,19,0,77,39,31,77,81,1,1,1,1,36
54,雋揚,建材營造,1439,81,67,45,25,43,29,29,93,0,33,55,51,83,57,9,51,37,75,47,69,29,37,33,65,1,1,1,1,1,46
55,名軒,建材營造,1442,41,35,41,47,99,21,31,89,91,31,53,79,89,61,87,49,35,19,15,67,27,35,29,67,9,1,1,1,1,50
56,大將,建材營造,1453,0,0,0,93,65,37,21,65,0,29,51,7,13,43,13,47,33,59,39,39,95,33,37,75,79,1,1,1,1,39
57,怡華,建材營造,1456,3,5,1,79,43,19,37,41,0,27,49,3,0,55,7,9,0,55,67,65,65,31,97,93,73,1,1,1,1,37
58,三洋實業,建材營造,1472,0,0,0,99,89,39,41,63,0,25,47,9,11,37,15,45,31,45,45,19,69,29,39,73,77,1,1,1,1,38
59,寶徠,建材營造,1805,33,39,13,77,57,49,47,91,1,23,45,11,91,31,17,15,29,77,57,11,25,27,35,69,75,1,1,1,1,42
60,潤隆,建材營造,1808,57,59,61,39,57,47,19,95,81,21,35,89,87,59,93,43,27,71,31,45,75,25,0,81,97,1,1,1,1,56
61,新美齊,建材營造,2442,87,43,87,15,49,45,49,37,83,77,43,57,85,93,19,41,25,83,83,63,23,23,57,85,87,1,1,1,1,58
62,國建,建材營造,2501,63,65,69,19,67,13,7,55,37,19,41,83,47,51,21,31,23,37,65,71,21,21,13,45,0,1,1,1,1,39
63,國產,建材營造,2504,65,83,51,29,61,0,11,15,63,89,0,61,35,0,27,0,21,39,73,73,19,17,11,17,43,1,1,1,1,36
64,國揚,建材營造,2505,85,85,71,21,93,41,43,9,61,17,0,0,21,65,29,13,19,41,63,97,17,0,59,55,11,1,1,1,1,41
65,太設,建材營造,2506,0,0,27,63,73,17,0,0,23,37,39,21,1,47,71,25,17,43,61,41,15,15,55,19,57,1,1,1,1,31
66,全坤建,建材營造,2509,5,3,17,65,79,33,39,17,19,15,37,73,37,45,69,37,15,85,85,0,85,13,61,25,49,1,1,1,1,40
67,太子,建材營造,2511,67,61,39,37,83,35,35,87,89,81,61,91,23,69,85,0,1,11,49,35,13,11,0,79,93,1,1,1,1,49
68,中工,建材營造,2515,27,31,19,73,63,31,33,49,45,11,1,59,43,71,37,9,13,49,69,21,11,9,9,37,13,1,1,1,1,33
69,新建,建材營造,2516,9,11,0,89,45,0,9,19,29,9,65,71,33,25,63,35,0,13,11,0,9,7,65,63,59,1,1,1,1,30
70,冠德,建材營造,2520,93,93,91,0,77,25,27,57,57,7,63,63,59,73,41,19,11,3,7,5,7,5,17,59,15,1,1,1,1,39
71,京城,建材營造,2524,89,91,79,5,69,23,23,5,33,5,3,17,7,75,75,55,9,53,41,17,99,3,41,31,65,1,1,1,1,41
72,宏璟,建材營造,2527,59,55,29,41,89,51,51,29,47,3,97,31,25,27,77,3,7,0,3,13,73,1,67,51,0,1,1,1,1,37
73,皇普,建材營造,2528,13,13,15,75,17,43,45,21,27,1,95,69,31,29,73,99,5,15,9,77,5,0,93,61,53,1,1,1,1,39
74,華建,建材營造,2530,39,41,73,7,89,55,55,85,97,85,93,99,95,91,89,61,3,87,87,59,3,0,0,83,95,1,1,1,1,63
75,宏盛,建材營造,2534,29,33,25,69,37,79,79,61,79,1,91,77,53,95,79,93,3,17,17,27,1,0,45,87,89,1,1,1,1,51
76,達欣工,建材營造,2535,75,77,81,1,31,0,13,39,99,1,89,53,61,99,99,91,41,89,89,29,1,43,0,97,99,1,1,1,1,56
77,宏普,建材營造,2536,17,17,67,9,69,97,97,71,95,1,87,93,81,33,91,89,43,0,0,79,1,19,91,35,71,1,1,1,1,54
78,聯上發,建材營造,2537,77,81,59,13,85,53,53,23,51,41,19,0,39,67,23,57,99,3,0,99,35,45,95,39,3,1,1,1,1,46
79,基泰,建材營造,2538,79,87,89,0,17,95,95,45,59,13,7,65,99,77,43,5,47,65,71,3,71,75,3,57,17,1,1,1,1,51
80,櫻花建,建材營造,2539,15,15,35,67,77,1,0,11,93,39,9,85,29,0,97,87,95,5,0,81,33,97,51,47,83,1,1,1,1,46
81,愛山林,建材營造,2540,97,97,99,0,35,93,93,7,15,47,11,15,9,17,61,85,93,67,77,0,89,95,43,33,61,1,1,1,1,54
82,興富發,建材營造,2542,51,63,75,55,89,91,91,43,49,43,79,55,45,79,39,83,91,69,33,61,79,93,47,91,19,1,1,1,1,65
83,皇昌,建材營造,2543,0,0,0,95,47,0,3,0,21,73,77,23,5,39,67,81,89,23,23,49,1,91,53,21,55,1,1,1,1,37
84,皇翔,建材營造,2545,55,57,83,31,51,89,89,47,41,71,75,1,19,41,31,1,87,1,5,83,93,89,89,53,0,1,1,1,1,51
85,根基,建材營造,2546,19,21,53,33,33,0,5,59,55,69,73,47,57,81,0,27,85,73,59,9,41,87,5,13,5,1,1,1,1,40
86,日勝生,建材營造,2547,49,51,55,45,75,87,87,25,17,87,71,27,27,19,57,59,83,91,91,85,43,85,7,43,69,1,1,1,1,57
87,華固,建材營造,2548,99,99,95,0,19,85,85,69,85,83,69,75,97,97,83,23,81,21,29,51,45,83,15,99,91,1,1,1,1,67
88,潤弘,建材營造,2597,71,73,85,17,39,15,15,3,87,61,13,0,0,0,59,21,79,33,53,15,47,81,99,95,85,1,1,1,1,46
89,鼎固-KY,建材營造,2923,37,47,77,57,91,83,83,0,11,59,15,13,0,0,49,7,77,3,25,53,67,79,87,11,45,1,1,1,1,43
90,夆典,建材營造,3052,11,9,3,81,45,81,81,1,25,57,17,19,3,21,65,77,75,31,21,55,83,77,85,23,51,1,1,1,1,44
91,富華新,建材營造,3056,69,75,93,27,93,77,77,0,35,55,0,0,0,83,53,33,97,9,1,37,55,73,83,27,63,1,1,1,1,49
92,昇陽,建材營造,3266,45,49,63,3,57,57,57,0,31,53,21,0,0,49,51,95,73,93,93,31,57,49,81,29,47,1,1,1,1,47
93,欣陸,建材營造,3703,91,89,23,71,29,9,17,13,39,99,0,25,17,0,55,75,69,7,0,87,59,71,49,9,41,1,1,1,1,42
94,建國,建材營造,5515,21,19,49,61,55,75,75,53,65,79,67,95,77,53,81,0,67,95,95,23,61,69,23,15,0,1,1,1,1,55
95,隆大,建材營造,5519,83,79,65,11,23,7,1,75,75,45,23,45,69,15,3,73,65,97,97,89,51,67,79,0,39,1,1,1,1,51
96,工信,建材營造,5521,0,0,11,87,21,73,73,27,3,75,81,29,41,23,25,71,63,63,37,91,49,65,25,0,0,1,1,1,1,41
97,遠雄,建材營造,5522,95,95,97,0,87,71,71,35,9,95,83,87,75,89,95,69,61,61,51,0,63,63,27,89,67,1,1,1,1,65
98,順天,建材營造,5525,7,7,21,51,71,69,69,31,7,49,33,41,51,11,45,0,59,57,75,1,91,61,77,0,29,1,1,1,1,41
99,鄉林,建材營造,5531,23,25,9,83,17,67,67,97,77,51,85,97,55,85,0,67,57,35,43,47,81,59,19,41,23,1,1,1,1,52
100,皇鼎,建材營造,5533,47,27,31,49,97,65,65,77,73,63,25,37,71,9,1,11,55,29,27,93,87,57,75,0,27,1,1,1,1,48
101,長虹,建材營造,5534,73,71,57,23,41,63,63,79,71,65,31,39,73,7,0,17,53,51,55,7,97,55,73,3,25,1,1,1,1,48
102,永固-KY,建材營造,5546,61,53,43,35,59,61,61,51,13,91,27,35,63,5,5,65,51,27,13,95,53,53,71,7,37,1,1,1,1,45
103,達麗,建材營造,6177,43,45,47,59,53,59,59,81,69,67,29,43,67,3,0,63,49,47,35,25,39,51,69,5,35,1,1,1,1,46
104,欣巴巴,建材營造,9906,25,23,7,91,95,11,0,33,5,93,5,67,49,13,47,97,0,0,0,33,1,47,1,1,33,1,1,1,1,31
105,三發地產,建材營造,9946,35,37,33,53,81,3,0,83,67,1,0,81,65,1,0,39,45,81,81,75,1,0,63,0,31,1,1,1,1,38
106,東陽,汽車工業,1319,18,18,45,72,51,99,99,0,15,27,6,3,0,96,12,99,96,78,39,99,99,3,6,6,45,1,1,1,1,45
107,廣華-KY,汽車工業,1338,39,45,36,66,84,60,60,3,60,69,12,24,9,99,93,69,45,99,96,72,69,9,27,24,87,1,1,1,1,54
108,昭輝,汽車工業,1339,15,21,0,99,96,33,18,33,12,48,45,45,36,24,57,39,99,12,78,42,81,12,99,60,57,1,1,1,1,46
109,瑞利,汽車工業,1512,0,0,6,93,63,51,48,63,48,3,48,15,72,27,36,66,9,96,93,15,93,69,54,78,39,1,1,1,1,47
110,大億,汽車工業,1521,33,33,39,54,45,48,51,84,24,6,24,27,81,75,3,36,12,42,69,0,87,78,69,63,21,1,1,1,1,44
111,堤維西,汽車工業,1522,6,6,15,78,75,0,24,27,9,9,54,42,33,30,63,33,15,93,90,48,3,81,18,21,24,1,1,1,1,36
112,耿鼎,汽車工業,1524,3,3,3,96,27,30,27,42,66,51,57,66,27,33,45,12,3,45,48,6,90,87,51,54,84,1,1,1,1,42
113,江申,汽車工業,1525,21,24,18,81,69,45,36,69,36,54,60,39,69,36,24,27,6,48,57,81,6,90,48,51,69,1,1,1,1,47
114,車王電,汽車工業,1533,12,15,24,90,9,57,57,96,21,12,33,18,84,39,0,63,18,51,72,78,9,72,93,96,12,1,1,1,1,45
115,和大,汽車工業,1536,45,39,48,33,33,6,15,24,27,57,21,21,6,18,18,3,21,3,15,21,12,66,63,48,15,1,1,1,1,27
116,倉佑,汽車工業,1568,24,9,12,75,81,27,12,72,42,15,39,75,45,42,15,57,24,54,60,24,15,45,24,30,33,1,1,1,1,38
117,吉茂,汽車工業,1587,27,27,9,69,87,54,54,51,96,60,66,30,87,45,39,75,27,81,81,39,18,0,0,0,6,1,1,1,1,45
118,六暉-KY,汽車工業,2115,81,81,84,12,99,66,66,15,51,18,3,9,21,15,51,15,30,3,0,57,21,33,12,12,78,1,1,1,1,37
119,裕隆,汽車工業,2201,78,78,72,21,60,69,69,12,45,93,0,12,24,90,54,18,33,39,54,27,24,54,9,9,75,1,1,1,1,45
120,中華,汽車工業,2204,84,84,87,9,54,36,45,21,54,87,18,6,18,0,48,9,36,15,27,96,27,21,15,15,81,1,1,1,1,40
121,三陽工業,汽車工業,2206,72,72,75,15,15,15,33,6,0,66,9,0,15,21,66,21,39,63,63,18,30,93,3,3,0,1,1,1,1,33
122,和泰車,汽車工業,2207,99,99,99,0,24,63,63,99,18,90,27,72,93,48,30,0,42,24,36,69,0,99,87,84,72,1,1,1,1,57
123,裕日車,汽車工業,2227,90,90,93,3,48,72,72,90,57,63,30,69,99,69,27,6,48,69,75,51,36,51,75,87,66,1,1,1,1,61
124,劍麟,汽車工業,2228,54,60,30,84,36,75,75,78,75,72,87,81,57,78,75,78,69,21,9,36,39,42,60,57,27,1,1,1,1,58
125,為升,汽車工業,2231,57,63,51,48,18,9,0,93,33,81,90,36,90,57,9,81,51,9,12,75,42,57,90,90,18,1,1,1,1,50
126,宇隆,汽車工業,2233,66,66,63,36,78,21,6,75,39,75,93,51,66,60,21,30,90,90,99,33,45,36,42,45,30,1,1,1,1,54
127,百達-KY,汽車工業,2236,42,51,33,63,75,39,39,66,99,21,96,99,75,63,99,84,87,72,33,54,48,60,57,72,42,1,1,1,1,63
128,英利-KY,汽車工業,2239,60,54,60,42,9,78,78,45,72,24,69,84,51,9,87,87,84,75,30,9,51,27,36,33,60,1,1,1,1,53
129,艾姆勒,汽車工業,2241,48,36,54,45,72,12,9,30,63,96,36,78,39,66,69,90,81,57,45,84,54,18,30,27,90,1,1,1,1,53
130,宏旭-KY,汽車工業,2243,63,57,57,39,39,81,81,48,78,42,81,87,48,6,84,93,78,36,42,3,57,30,33,39,54,1,1,1,1,54
131,汎德永業,汽車工業,2247,75,75,78,24,30,3,30,39,90,30,78,63,30,51,60,96,75,30,6,66,60,63,66,75,48,1,1,1,1,54
132,IKKA-KY,汽車工業,2250,69,69,69,30,93,84,84,36,69,33,75,90,54,3,81,42,93,87,87,87,63,24,39,36,63,1,1,1,1,62
133,怡利電,汽車工業,2497,36,42,42,51,12,87,87,81,81,45,72,93,60,81,78,45,72,66,66,12,66,48,78,93,51,1,1,1,1,62
134,麗清,汽車工業,3346,87,87,81,27,21,90,90,87,30,78,63,96,96,72,6,48,66,33,24,45,96,75,96,99,36,1,1,1,1,65
135,智伸科,汽車工業,4551,96,96,96,6,90,93,93,9,93,99,15,33,3,93,96,60,63,60,51,90,72,6,21,18,99,1,1,1,1,62
136,永新-KY,汽車工業,4557,93,93,90,18,9,24,21,18,87,39,51,48,12,84,90,51,60,84,84,30,75,15,45,42,96,1,1,1,1,54
137,光隆精密-KY,汽車工業,4581,30,30,27,57,57,96,96,60,84,36,42,60,78,54,72,54,57,27,18,60,78,96,84,81,93,1,1,1,1,61
138,聯嘉,汽車工業,6288,51,48,66,87,66,42,3,54,3,84,84,54,42,87,33,24,54,18,21,93,33,39,81,69,3,1,1,1,1,50
139,帝寶,汽車工業,6605,9,12,21,60,42,18,42,57,6,0,99,57,63,12,42,72,0,6,3,63,84,84,72,66,9,1,1,1,1,40
185,遠東新,紡織纖維,1402,95,95,95,21,55,19,45,19,71,97,37,19,19,19,87,23,77,29,41,41,51,21,19,19,59,1,1,1,1,47
186,新纖,紡織纖維,1409,81,85,89,37,31,41,57,35,79,37,57,29,21,55,19,25,55,49,69,63,23,61,53,59,49,1,1,1,1,50
187,南染,紡織纖維,1410,35,47,37,53,87,73,65,63,51,75,67,39,51,33,49,75,97,95,75,21,75,59,41,47,21,1,1,1,1,57
188,宏洲,紡織纖維,1413,55,55,75,35,51,49,35,57,75,73,79,63,49,61,83,63,19,33,35,31,25,37,71,81,85,1,1,1,1,55
189,東和,紡織纖維,1414,37,33,55,55,49,37,23,79,23,67,77,97,67,99,81,71,51,47,51,81,77,57,83,79,33,1,1,1,1,60
190,嘉裕,紡織纖維,1417,33,35,47,93,95,43,29,67,27,65,65,35,59,43,39,73,49,37,27,65,27,53,43,51,23,1,1,1,1,49
191,東華,紡織纖維,1418,89,73,43,81,41,65,73,91,63,55,43,81,89,75,65,51,23,87,83,45,97,49,91,91,81,1,1,1,1,69
192,新紡,紡織纖維,1419,69,71,79,47,91,67,75,75,97,49,81,91,71,77,95,69,47,85,73,73,29,51,87,85,97,1,1,1,1,73
193,利華,紡織纖維,1423,57,51,27,95,77,59,25,99,99,79,53,79,95,79,99,97,45,21,19,29,31,55,99,99,99,1,1,1,1,67
194,福懋,紡織纖維,1434,25,25,57,63,45,27,51,21,37,91,85,21,31,51,21,29,43,43,63,51,33,19,33,21,35,1,1,1,1,41
195,南紡,紡織纖維,1440,65,67,73,49,33,31,37,47,73,83,31,41,33,21,61,19,99,23,29,37,35,39,65,69,75,1,1,1,1,49
196,大東,紡織纖維,1441,77,75,67,51,53,79,79,55,85,47,87,45,47,31,73,85,41,45,45,85,67,41,77,71,77,1,1,1,1,63
197,力麗,紡織纖維,1444,43,37,53,77,61,33,39,53,83,21,61,27,43,63,85,53,39,41,53,33,37,63,27,35,69,1,1,1,1,49
198,大宇,紡織纖維,1445,39,39,41,85,57,83,83,65,25,23,73,31,57,39,47,81,53,75,91,75,91,65,45,49,31,1,1,1,1,58
199,宏和,紡織纖維,1446,41,41,61,83,43,77,85,81,19,25,47,85,97,89,91,55,37,35,31,27,79,67,93,93,29,1,1,1,1,60
200,力鵬,紡織纖維,1447,53,49,49,71,65,45,41,23,59,27,83,33,25,47,27,57,35,31,33,53,39,33,23,31,39,1,1,1,1,43
201,佳和,紡織纖維,1449,23,23,25,79,71,55,53,33,33,29,91,69,37,49,35,31,33,77,97,19,71,71,75,75,61,1,1,1,1,53
202,年興,紡織纖維,1451,59,59,65,57,59,57,59,49,91,31,27,43,27,27,69,59,31,83,89,49,41,73,49,55,95,1,1,1,1,56
203,宏益,紡織纖維,1452,87,89,87,31,75,25,19,77,77,33,93,89,63,69,77,47,29,51,55,43,43,75,97,97,93,1,1,1,1,65
204,台富,紡織纖維,1454,31,29,29,89,29,85,89,87,31,35,63,65,55,41,37,49,25,89,85,93,85,77,47,53,27,1,1,1,1,57
205,集盛,紡織纖維,1455,75,77,83,45,37,39,47,51,69,19,29,51,23,59,79,45,57,69,61,99,69,99,51,57,63,1,1,1,1,58
206,宜進,紡織纖維,1457,83,83,69,43,93,89,93,97,57,39,95,83,99,81,55,65,73,27,25,25,47,79,95,95,87,1,1,1,1,71
207,聯發,紡織纖維,1459,45,43,23,91,41,91,95,85,89,41,51,93,61,95,75,67,59,99,87,57,49,81,85,83,73,1,1,1,1,70
208,宏遠,紡織纖維,1460,47,45,45,67,27,21,31,29,41,43,97,37,41,53,31,39,91,79,79,39,21,83,21,27,65,1,1,1,1,48
209,強盛新,紡織纖維,1463,27,27,39,69,47,93,81,27,29,45,69,23,39,35,23,93,21,71,59,61,83,25,31,23,25,1,1,1,1,47
210,得力,紡織纖維,1464,29,31,35,75,69,29,27,93,21,85,49,49,53,93,25,87,89,73,99,83,65,85,29,39,19,1,1,1,1,57
211,偉全,紡織纖維,1465,21,21,21,97,67,97,77,25,35,77,71,25,35,37,29,79,87,57,43,67,55,23,55,25,37,1,1,1,1,51
212,聚隆,紡織纖維,1466,63,63,77,39,81,47,43,71,67,51,23,99,45,91,59,43,85,39,39,71,57,87,73,73,67,1,1,1,1,62
