,公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG,ESG_ByPR
0,台泥,水泥工業,1101,85.0,85.0,85.0,29.0,85.0,15,43.0,15.0,43.0,57,29.0,15.0,15.0,29.0,43.0,15,99,15,29.0,99.0,85.0,99.0,71.0,71.0,99.0,1,1,1,1,54
1,亞泥,水泥工業,1102,99.0,99.0,99.0,15.0,71.0,99,99.0,29.0,29.0,99,99.0,29.0,29.0,15.0,29.0,29,85,99,99.0,15.0,71.0,85.0,57.0,57.0,15.0,1,1,1,1,62
2,嘉泥,水泥工業,1103,71.0,71.0,71.0,43.0,29.0,85,85.0,85.0,57.0,85,85.0,99.0,99.0,99.0,99.0,99,71,71,43.0,29.0,57.0,71.0,85.0,85.0,85.0,1,1,1,1,74
3,環泥,水泥工業,1104,57.0,57.0,57.0,57.0,15.0,71,57.0,57.0,85.0,71,71.0,71.0,71.0,85.0,85.0,85,57,85,85.0,85.0,43.0,57.0,15.0,15.0,43.0,1,1,1,1,61
4,幸福,水泥工業,1108,15.0,15.0,15.0,99.0,99.0,29,29.0,43.0,15.0,43,57.0,43.0,43.0,71.0,57.0,71,43,29,15.0,71.0,29.0,43.0,43.0,43.0,71.0,1,1,1,1,45
5,信大,水泥工業,1109,29.0,29.0,43.0,85.0,43.0,57,71.0,71.0,71.0,29,43.0,57.0,57.0,43.0,15.0,57,29,57,57.0,43.0,99.0,29.0,29.0,29.0,57.0,1,1,1,1,49
6,東泥,水泥工業,1110,43.0,43.0,29.0,71.0,57.0,43,15.0,99.0,99.0,15,15.0,85.0,85.0,57.0,71.0,43,15,43,71.0,57.0,15.0,15.0,99.0,99.0,29.0,1,1,1,1,53
7,味全,食品工業,1201,51.0,51.0,59.0,51.0,55.0,35,47.0,15.0,23.0,83,71.0,39.0,27.0,35.0,43.0,59,55,99,99.0,67.0,71.0,43.0,31.0,31.0,27.0,1,1,1,1,51
8,味王,食品工業,1203,31.0,31.0,31.0,75.0,19.0,31,15.0,99.0,83.0,43,51.0,59.0,67.0,87.0,39.0,15,51,51,75.0,15.0,95.0,19.0,87.0,75.0,51.0,1,1,1,1,52
9,大成,食品工業,1210,39.0,39.0,55.0,63.0,39.0,19,27.0,47.0,51.0,95,95.0,63.0,51.0,19.0,63.0,27,15,95,95.0,59.0,75.0,95.0,39.0,39.0,35.0,1,1,1,1,54
