,公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG,ESG_ByPR
10,大飲,食品工業,1213,11.0,11.0,11.0,99.0,43.0,91,87.0,91.0,43.0,15,63.0,99.0,83.0,83.0,59.0,47,19,55,67.0,51.0,91.0,11.0,99.0,99.0,67.0,1,1,1,1,60
11,卜蜂,食品工業,1215,59.0,59.0,35.0,83.0,67.0,15,19.0,23.0,71.0,19,91.0,19.0,23.0,27.0,27.0,83,23,91,91.0,23.0,19.0,91.0,15.0,15.0,83.0,1,1,1,1,47
12,統一,食品工業,1216,83.0,83.0,95.0,15.0,63.0,63,63.0,11.0,19.0,99,87.0,15.0,11.0,11.0,19.0,15,27,35,43.0,75.0,23.0,35.0,11.0,11.0,19.0,1,1,1,1,41
13,愛之味,食品工業,1217,35.0,35.0,47.0,67.0,75.0,47,43.0,55.0,35.0,23,31.0,87.0,59.0,47.0,67.0,51,31,83,87.0,27.0,79.0,83.0,47.0,47.0,43.0,1,1,1,1,53
14,泰山,食品工業,1218,87.0,87.0,91.0,23.0,47.0,55,55.0,35.0,31.0,27,11.0,67.0,79.0,99.0,79.0,79,35,59,55.0,79.0,27.0,79.0,59.0,59.0,55.0,1,1,1,1,58
15,福壽,食品工業,1219,47.0,43.0,39.0,55.0,27.0,51,51.0,51.0,99.0,31,27.0,55.0,63.0,43.0,75.0,55,39,15,15.0,31.0,31.0,55.0,79.0,83.0,99.0,1,1,1,1,50
16,台榮,食品工業,1220,27.0,27.0,27.0,79.0,31.0,59,23.0,27.0,67.0,35,23.0,35.0,43.0,31.0,83.0,23,43,23,39.0,35.0,99.0,75.0,71.0,79.0,91.0,1,1,1,1,48
17,福懋油,食品工業,1225,55.0,55.0,51.0,59.0,23.0,83,75.0,87.0,55.0,39,99.0,71.0,91.0,67.0,47.0,43,47,47,19.0,19.0,83.0,51.0,63.0,63.0,59.0,1,1,1,1,58
18,佳格,食品工業,1227,71.0,71.0,75.0,31.0,87.0,27,31.0,39.0,79.0,47,15.0,43.0,39.0,51.0,95.0,91,99,63,59.0,39.0,43.0,31.0,23.0,23.0,87.0,1,1,1,1,54
19,聯華,食品工業,1229,99.0,99.0,63.0,47.0,43.0,75,67.0,83.0,63.0,87,59.0,83.0,35.0,91.0,51.0,35,95,67,71.0,43.0,39.0,67.0,91.0,87.0,75.0,1,1,1,1,69
20,聯華食,食品工業,1231,43.0,47.0,43.0,71.0,87.0,23,35.0,43.0,95.0,79,19.0,51.0,31.0,95.0,55.0,67,59,39,27.0,99.0,15.0,63.0,27.0,27.0,31.0,1,1,1,1,51
21,大統益,食品工業,1232,91.0,91.0,99.0,11.0,51.0,67,79.0,63.0,59.0,51,43.0,23.0,19.0,59.0,31.0,31,63,79,79.0,83.0,47.0,59.0,55.0,55.0,71.0,1,1,1,1,58
22,天仁,食品工業,1233,15.0,15.0,23.0,87.0,99.0,43,59.0,75.0,39.0,55,55.0,95.0,95.0,55.0,71.0,71,67,87,83.0,87.0,51.0,87.0,75.0,67.0,39.0,1,1,1,1,64
23,黑松,食品工業,1234,63.0,63.0,71.0,39.0,35.0,71,83.0,31.0,75.0,59,75.0,47.0,47.0,15.0,87.0,19,71,31,47.0,71.0,55.0,47.0,51.0,51.0,79.0,1,1,1,1,55
24,興泰,食品工業,1235,19.0,19.0,15.0,95.0,71.0,87,91.0,95.0,91.0,63,47.0,91.0,99.0,71.0,91.0,95,75,71,51.0,47.0,87.0,23.0,83.0,91.0,63.0,1,1,1,1,69
25,宏亞,食品工業,1236,23.0,23.0,19.0,91.0,95.0,39,39.0,79.0,47.0,67,35.0,75.0,75.0,75.0,35.0,99,79,11,11.0,91.0,59.0,99.0,67.0,71.0,47.0,1,1,1,1,58
26,鮮活果汁-KY,食品工業,1256,67.0,67.0,67.0,43.0,79.0,11,11.0,67.0,27.0,71,39.0,79.0,55.0,79.0,99.0,87,83,75,63.0,95.0,63.0,27.0,35.0,35.0,95.0,1,1,1,1,61
27,南僑,食品工業,1702,95.0,95.0,87.0,35.0,83.0,95,95.0,19.0,87.0,91,67.0,11.0,15.0,39.0,23.0,75,87,27,23.0,11.0,67.0,15.0,19.0,19.0,23.0,1,1,1,1,52
28,臺鹽,食品工業,1737,75.0,75.0,83.0,19.0,59.0,79,71.0,71.0,11.0,75,83.0,27.0,87.0,63.0,11.0,63,91,43,35.0,63.0,35.0,71.0,95.0,95.0,11.0,1,1,1,1,60
29,立萬利,食品工業,3054,79.0,79.0,79.0,27.0,91.0,99,99.0,59.0,15.0,11,79.0,31.0,71.0,23.0,15.0,39,11,19,31.0,55.0,11.0,39.0,43.0,43.0,15.0,1,1,1,1,47
30,台塑,塑膠工業,1301,84.0,99.0,84.0,14.0,39.0,34,29.0,4.0,14.0,99,99.0,4.0,0.0,9.0,9.0,0,99,4,19.0,29.0,49.0,9.0,4.0,4.0,14.0,1,1,1,1,34
31,南亞,塑膠工業,1303,69.0,69.0,79.0,19.0,24.0,9,39.0,9.0,94.0,94,94.0,9.0,9.0,4.0,14.0,4,24,9,24.0,34.0,9.0,4.0,9.0,9.0,94.0,1,1,1,1,34
32,台聚,塑膠工業,1304,99.0,89.0,99.0,4.0,9.0,49,49.0,39.0,59.0,89,89.0,44.0,24.0,99.0,69.0,34,89,44,44.0,14.0,14.0,59.0,79.0,79.0,84.0,1,1,1,1,58
33,華夏,塑膠工業,1305,59.0,59.0,59.0,34.0,29.0,29,24.0,19.0,74.0,84,84.0,29.0,19.0,34.0,84.0,39,84,49,49.0,84.0,89.0,64.0,49.0,49.0,79.0,1,1,1,1,54
34,三芳,塑膠工業,1307,49.0,54.0,39.0,59.0,34.0,0,0.0,54.0,9.0,4,0.0,79.0,59.0,69.0,24.0,74,4,54,54.0,4.0,19.0,39.0,54.0,54.0,4.0,1,1,1,1,36
35,亞聚,塑膠工業,1308,94.0,84.0,94.0,0.0,14.0,54,54.0,44.0,64.0,19,74.0,74.0,29.0,39.0,64.0,44,79,59,59.0,74.0,24.0,89.0,84.0,84.0,89.0,1,1,1,1,59
36,台達化,塑膠工業,1309,74.0,74.0,69.0,29.0,59.0,59,59.0,34.0,84.0,49,69.0,54.0,39.0,44.0,94.0,49,74,34,29.0,49.0,29.0,74.0,24.0,44.0,64.0,1,1,1,1,54
37,台苯,塑膠工業,1310,64.0,64.0,54.0,44.0,64.0,44,44.0,29.0,69.0,64,64.0,24.0,54.0,49.0,74.0,19,9,19,34.0,19.0,34.0,84.0,59.0,64.0,69.0,1,1,1,1,49
38,國喬,塑膠工業,1312,54.0,49.0,49.0,49.0,79.0,39,19.0,24.0,19.0,59,59.0,19.0,49.0,29.0,19.0,64,14,39,9.0,39.0,39.0,99.0,69.0,69.0,54.0,1,1,1,1,44
39,聯成,塑膠工業,1313,79.0,79.0,74.0,24.0,84.0,69,69.0,49.0,79.0,54,9.0,39.0,69.0,64.0,79.0,24,19,69,69.0,24.0,44.0,19.0,64.0,59.0,59.0,1,1,1,1,55
40,中石化,塑膠工業,1314,44.0,44.0,64.0,39.0,49.0,99,99.0,14.0,0.0,69,54.0,14.0,14.0,24.0,0.0,54,34,99,99.0,0.0,0.0,0.0,14.0,14.0,9.0,1,1,1,1,38
41,達新,塑膠工業,1315,34.0,34.0,34.0,64.0,99.0,74,74.0,94.0,44.0,44,34.0,89.0,94.0,89.0,54.0,59,29,79,79.0,59.0,54.0,79.0,94.0,99.0,49.0,1,1,1,1,65
42,大洋,塑膠工業,1321,39.0,39.0,44.0,54.0,44.0,14,4.0,99.0,89.0,39,44.0,94.0,44.0,94.0,89.0,29,69,14,4.0,44.0,59.0,69.0,74.0,74.0,74.0,1,1,1,1,54
43,永裕,塑膠工業,1323,24.0,24.0,29.0,74.0,74.0,19,14.0,64.0,99.0,34,79.0,99.0,64.0,84.0,99.0,14,94,84,84.0,54.0,64.0,94.0,89.0,89.0,99.0,1,1,1,1,66
44,地球,塑膠工業,1324,29.0,29.0,19.0,84.0,89.0,79,79.0,89.0,24.0,29,39.0,84.0,99.0,54.0,29.0,94,39,89,89.0,94.0,69.0,49.0,99.0,94.0,44.0,1,1,1,1,65
45,恆大,塑膠工業,1325,0.0,0.0,0.0,99.0,94.0,84,84.0,74.0,29.0,24,29.0,59.0,79.0,74.0,44.0,79,44,0,0.0,64.0,99.0,29.0,39.0,34.0,34.0,1,1,1,1,48
46,台化,塑膠工業,1326,89.0,94.0,89.0,9.0,19.0,24,34.0,0.0,4.0,74,49.0,0.0,4.0,0.0,4.0,9,49,29,39.0,9.0,74.0,54.0,0.0,0.0,0.0,1,1,1,1,30
47,再生-KY,塑膠工業,1337,14.0,14.0,9.0,89.0,54.0,89,89.0,84.0,39.0,14,19.0,69.0,89.0,19.0,49.0,84,54,94,94.0,69.0,79.0,24.0,44.0,39.0,39.0,1,1,1,1,54
48,勝悅-KY,塑膠工業,1340,9.0,9.0,4.0,94.0,4.0,94,94.0,79.0,34.0,9,14.0,64.0,84.0,14.0,39.0,89,59,24,14.0,79.0,84.0,34.0,34.0,29.0,29.0,1,1,1,1,45
49,富林-KY,塑膠工業,1341,4.0,4.0,14.0,79.0,69.0,4,9.0,59.0,49.0,79,4.0,49.0,74.0,59.0,59.0,69,64,74,74.0,89.0,4.0,14.0,19.0,24.0,24.0,1,1,1,1,43
50,炎洲,塑膠工業,4306,19.0,19.0,24.0,69.0,49.0,64,64.0,69.0,54.0,0,24.0,34.0,34.0,79.0,34.0,99,0,64,64.0,99.0,94.0,44.0,29.0,19.0,19.0,1,1,1,1,47
51,上曜,建材營造,1316,65.0,69.0,7.0,91.0,61.0,99,99.0,91.0,67.0,97,99.0,99.0,49.0,99.0,89.0,77,69,29,23.0,99.0,39.0,99.0,17.0,35.0,67.0,1,1,1,1,69
52,華友聯,建材營造,1436,39.0,41.0,33.0,49.0,91.0,51,51.0,99.0,65.0,5,51.0,91.0,77.0,97.0,57.0,29,99,81,83.0,85.0,33.0,43.0,61.0,59.0,63.0,1,1,1,1,61
53,三地開發,建材營造,1438,45.0,49.0,0.0,89.0,63.0,49,49.0,95.0,11.0,33,49.0,87.0,65.0,61.0,83.0,53,37,25,15.0,41.0,89.0,41.0,37.0,67.0,5.0,1,1,1,1,50
54,雋揚,建材營造,1439,7.0,7.0,15.0,67.0,89.0,47,47.0,79.0,9.0,67,47.0,63.0,99.0,81.0,65.0,51,35,69,55.0,43.0,31.0,39.0,57.0,95.0,83.0,1,1,1,1,54
55,名軒,建材營造,1442,35.0,31.0,35.0,47.0,89.0,45,45.0,85.0,7.0,47,45.0,95.0,91.0,79.0,55.0,49,33,23,11.0,73.0,29.0,37.0,11.0,33.0,65.0,1,1,1,1,48
56,大將,建材營造,1453,0.0,0.0,0.0,97.0,89.0,43,43.0,69.0,5.0,53,43.0,79.0,85.0,15.0,45.0,47,31,65,47.0,13.0,93.0,35.0,39.0,85.0,33.0,1,1,1,1,46
57,怡華,建材營造,1456,5.0,9.0,0.0,85.0,49.0,41,41.0,53.0,1.0,55,41.0,67.0,73.0,67.0,75.0,11,29,21,37.0,49.0,27.0,33.0,89.0,77.0,81.0,1,1,1,1,45
58,三洋實業,建材營造,1472,3.0,3.0,3.0,87.0,63.0,39,39.0,67.0,3.0,45,39.0,77.0,83.0,13.0,87.0,45,95,45,43.0,33.0,25.0,31.0,41.0,83.0,35.0,1,1,1,1,45
59,寶徠,建材營造,1805,43.0,47.0,17.0,69.0,63.0,37,37.0,89.0,0.0,29,37.0,93.0,81.0,55.0,85.0,35,27,63,59.0,35.0,23.0,29.0,35.0,31.0,3.0,1,1,1,1,45
60,潤隆,建材營造,1808,11.0,5.0,11.0,79.0,67.0,3,0.0,87.0,75.0,25,35.0,89.0,71.0,59.0,53.0,43,25,79,41.0,1.0,81.0,27.0,1.0,11.0,0.0,1,1,1,1,39
61,新美齊,建材營造,2442,85.0,43.0,71.0,31.0,57.0,35,35.0,35.0,93.0,71,29.0,83.0,75.0,77.0,63.0,41,23,85,95.0,77.0,21.0,25.0,79.0,61.0,73.0,1,1,1,1,59
62,國建,建材營造,2501,49.0,59.0,59.0,29.0,71.0,1,0.0,59.0,25.0,13,31.0,29.0,29.0,41.0,0.0,25,21,47,71.0,69.0,19.0,23.0,59.0,39.0,0.0,1,1,1,1,35
63,國產,建材營造,2504,69.0,79.0,65.0,13.0,47.0,0,5.0,9.0,43.0,69,9.0,3.0,5.0,17.0,95.0,9,91,49,75.0,17.0,17.0,19.0,3.0,13.0,39.0,1,1,1,1,34
64,國揚,建材營造,2505,59.0,63.0,87.0,1.0,95.0,31,31.0,0.0,77.0,23,17.0,0.0,9.0,43.0,29.0,11,19,51,69.0,97.0,15.0,0.0,31.0,79.0,71.0,1,1,1,1,40
65,太設,建材營造,2506,0.0,0.0,67.0,41.0,23.0,17,19.0,61.0,0.0,49,15.0,69.0,59.0,83.0,0.0,27,17,53,67.0,65.0,13.0,17.0,63.0,57.0,61.0,1,1,1,1,38
66,全坤建,建材營造,2509,9.0,11.0,27.0,65.0,75.0,23,23.0,21.0,57.0,27,21.0,53.0,33.0,7.0,71.0,95,15,87,97.0,81.0,75.0,15.0,45.0,41.0,21.0,1,1,1,1,44
67,太子,建材營造,2511,83.0,85.0,73.0,11.0,77.0,19,17.0,5.0,55.0,89,13.0,21.0,17.0,31.0,47.0,3,13,19,57.0,55.0,11.0,13.0,23.0,15.0,25.0,1,1,1,1,35
68,新建,建材營造,2516,0.0,1.0,5.0,95.0,39.0,0,13.0,19.0,31.0,21,27.0,19.0,27.0,5.0,39.0,33,11,17,35.0,0.0,69.0,11.0,9.0,21.0,19.0,1,1,1,1,23
69,冠德,建材營造,2520,87.0,91.0,89.0,9.0,79.0,21,21.0,65.0,91.0,75,23.0,45.0,57.0,91.0,77.0,31,9,57,63.0,7.0,9.0,9.0,67.0,87.0,85.0,1,1,1,1,54
70,京城,建材營造,2524,73.0,67.0,57.0,21.0,69.0,25,25.0,15.0,23.0,19,25.0,9.0,11.0,51.0,21.0,55,7,43,51.0,11.0,95.0,7.0,0.0,25.0,1.0,1,1,1,1,32
71,宏璟,建材營造,2527,61.0,61.0,29.0,37.0,85.0,27,27.0,11.0,0.0,17,3.0,73.0,13.0,35.0,0.0,11,5,0,3.0,39.0,79.0,5.0,0.0,0.0,11.0,1,1,1,1,25
72,皇普,建材營造,2528,13.0,13.0,21.0,77.0,97.0,53,53.0,81.0,61.0,15,53.0,61.0,97.0,63.0,61.0,97,3,15,7.0,59.0,7.0,3.0,13.0,73.0,79.0,1,1,1,1,47
73,華建,建材營造,2530,77.0,81.0,75.0,27.0,89.0,33,33.0,77.0,69.0,95,33.0,81.0,37.0,95.0,0.0,61,3,89,89.0,71.0,5.0,1.0,73.0,55.0,57.0,1,1,1,1,56
74,宏盛,建材營造,2534,41.0,45.0,53.0,43.0,31.0,57,57.0,73.0,73.0,11,57.0,71.0,95.0,37.0,51.0,89,3,13,17.0,67.0,3.0,0.0,53.0,63.0,59.0,1,1,1,1,46
75,達欣工,建材營造,2535,51.0,55.0,77.0,5.0,37.0,59,59.0,51.0,81.0,77,59.0,41.0,53.0,49.0,67.0,87,3,91,93.0,19.0,1.0,0.0,77.0,91.0,93.0,1,1,1,1,55
76,宏普,建材營造,2536,27.0,29.0,31.0,35.0,63.0,97,97.0,93.0,63.0,9,97.0,85.0,89.0,85.0,49.0,99,97,9,19.0,31.0,1.0,45.0,15.0,37.0,77.0,1,1,1,1,55
77,聯上發,建材營造,2537,25.0,23.0,41.0,55.0,97.0,55,55.0,29.0,71.0,7,55.0,59.0,31.0,0.0,59.0,57,39,3,0.0,83.0,37.0,47.0,47.0,43.0,43.0,1,1,1,1,42
78,基泰,建材營造,2538,95.0,89.0,63.0,39.0,23.0,95,95.0,43.0,87.0,1,95.0,49.0,93.0,89.0,79.0,11,43,73,73.0,0.0,99.0,49.0,85.0,69.0,91.0,1,1,1,1,65
79,櫻花建,建材營造,2539,23.0,21.0,43.0,61.0,55.0,11,0.0,17.0,83.0,3,93.0,51.0,23.0,1.0,91.0,83,41,5,0.0,87.0,35.0,51.0,55.0,65.0,23.0,1,1,1,1,41
80,愛山林,建材營造,2540,97.0,99.0,99.0,0.0,35.0,93,93.0,3.0,53.0,1,11.0,17.0,25.0,33.0,41.0,81,67,11,79.0,25.0,87.0,97.0,43.0,23.0,55.0,1,1,1,1,51
81,興富發,建材營造,2542,67.0,73.0,25.0,73.0,89.0,91,91.0,49.0,85.0,1,91.0,97.0,43.0,73.0,73.0,79,87,75,45.0,75.0,83.0,95.0,69.0,71.0,87.0,1,1,1,1,71
82,皇昌,建材營造,2543,1.0,0.0,19.0,81.0,43.0,0,3.0,0.0,33.0,1,89.0,23.0,39.0,9.0,43.0,59,85,27,21.0,47.0,1.0,93.0,51.0,5.0,27.0,1,1,1,1,32
83,皇翔,建材營造,2545,57.0,57.0,85.0,17.0,51.0,89,89.0,1.0,45.0,1,87.0,0.0,7.0,45.0,31.0,11,83,1,5.0,21.0,91.0,91.0,33.0,81.0,7.0,1,1,1,1,43
84,根基,建材營造,2546,17.0,19.0,55.0,23.0,39.0,0,1.0,23.0,51.0,79,85.0,11.0,21.0,0.0,17.0,13,81,55,65.0,9.0,61.0,89.0,5.0,17.0,29.0,1,1,1,1,35
85,日勝生,建材營造,2547,53.0,53.0,49.0,33.0,87.0,15,11.0,27.0,21.0,81,83.0,37.0,69.0,87.0,9.0,15,93,83,85.0,57.0,59.0,87.0,83.0,53.0,69.0,1,1,1,1,56
86,華固,建材營造,2548,99.0,97.0,97.0,0.0,53.0,87,87.0,71.0,89.0,83,81.0,65.0,87.0,71.0,93.0,17,79,33,29.0,63.0,57.0,85.0,75.0,97.0,99.0,1,1,1,1,72
87,潤弘,建材營造,2597,55.0,65.0,81.0,19.0,27.0,85,85.0,0.0,0.0,31,0.0,0.0,1.0,29.0,19.0,19,77,77,61.0,0.0,55.0,83.0,87.0,75.0,51.0,1,1,1,1,43
88,鼎固-KY,建材營造,2923,29.0,27.0,51.0,59.0,89.0,83,83.0,0.0,35.0,63,5.0,13.0,15.0,27.0,33.0,11,75,3,27.0,27.0,41.0,81.0,25.0,3.0,53.0,1,1,1,1,38
89,夆典,建材營造,3052,21.0,25.0,9.0,83.0,41.0,81,81.0,75.0,59.0,61,79.0,31.0,67.0,65.0,35.0,75,73,35,13.0,45.0,77.0,79.0,71.0,99.0,97.0,1,1,1,1,59
90,富華新,建材營造,3056,89.0,93.0,93.0,53.0,93.0,79,79.0,25.0,39.0,59,77.0,55.0,41.0,3.0,81.0,37,71,3,1.0,51.0,49.0,77.0,99.0,93.0,31.0,1,1,1,1,59
91,昇陽,建材營造,3266,75.0,75.0,83.0,3.0,55.0,77,77.0,97.0,95.0,57,75.0,5.0,0.0,47.0,13.0,91,89,97,87.0,89.0,47.0,75.0,65.0,7.0,49.0,1,1,1,1,61
92,欣陸,建材營造,3703,91.0,83.0,39.0,45.0,33.0,7,15.0,7.0,37.0,99,0.0,15.0,3.0,25.0,15.0,73,45,7,0.0,91.0,43.0,73.0,27.0,1.0,37.0,1,1,1,1,36
93,建國,建材營造,5515,15.0,15.0,45.0,63.0,45.0,5,9.0,63.0,49.0,85,73.0,57.0,55.0,57.0,27.0,5,65,95,81.0,61.0,65.0,71.0,19.0,19.0,0.0,1,1,1,1,46
94,隆大,建材營造,5519,79.0,77.0,79.0,7.0,25.0,75,75.0,33.0,13.0,51,71.0,1.0,0.0,53.0,3.0,71,63,93,91.0,15.0,51.0,69.0,0.0,29.0,0.0,1,1,1,1,45
95,工信,建材營造,5521,0.0,0.0,0.0,99.0,29.0,9,7.0,31.0,41.0,65,69.0,25.0,35.0,11.0,37.0,93,1,67,39.0,53.0,45.0,67.0,7.0,0.0,9.0,1,1,1,1,34
96,遠雄,建材營造,5522,93.0,95.0,95.0,0.0,83.0,73,73.0,13.0,47.0,91,67.0,33.0,19.0,0.0,1.0,69,61,59,53.0,0.0,71.0,65.0,49.0,27.0,45.0,1,1,1,1,51
97,順天,建材營造,5525,81.0,87.0,91.0,0.0,65.0,71,71.0,39.0,97.0,43,65.0,43.0,51.0,93.0,97.0,7,59,61,77.0,5.0,67.0,63.0,91.0,89.0,89.0,1,1,1,1,64
98,鄉林,建材營造,5531,33.0,37.0,13.0,75.0,81.0,69,69.0,47.0,19.0,41,63.0,47.0,47.0,75.0,11.0,67,57,31,25.0,37.0,53.0,61.0,81.0,47.0,95.0,1,1,1,1,51
99,皇鼎,建材營造,5533,47.0,39.0,47.0,51.0,99.0,67,67.0,83.0,79.0,39,61.0,35.0,79.0,69.0,69.0,23,55,41,31.0,93.0,85.0,59.0,21.0,49.0,75.0,1,1,1,1,59
100,長虹,建材營造,5534,71.0,71.0,69.0,15.0,59.0,65,65.0,41.0,17.0,37,1.0,7.0,0.0,19.0,7.0,21,53,37,33.0,3.0,97.0,57.0,97.0,45.0,13.0,1,1,1,1,40
101,永固-KY,建材營造,5546,63.0,51.0,61.0,25.0,55.0,63,63.0,55.0,27.0,87,0.0,39.0,61.0,21.0,23.0,65,51,39,9.0,23.0,63.0,55.0,93.0,51.0,15.0,1,1,1,1,46
102,達麗,建材營造,6177,37.0,35.0,23.0,71.0,55.0,61,61.0,57.0,29.0,35,0.0,27.0,63.0,23.0,25.0,63,49,71,49.0,95.0,73.0,53.0,95.0,0.0,17.0,1,1,1,1,47
103,欣巴巴,建材營造,9906,19.0,17.0,1.0,93.0,73.0,13,0.0,37.0,15.0,93,7.0,0.0,0.0,0.0,5.0,85,47,0,0.0,29.0,1.0,21.0,29.0,9.0,41.0,1,1,1,1,25
104,三發地產,建材營造,9946,31.0,33.0,37.0,57.0,99.0,29,29.0,45.0,99.0,73,19.0,75.0,45.0,39.0,99.0,39,3,99,99.0,79.0,1.0,0.0,0.0,0.0,47.0,1,1,1,1,47
105,東陽,汽車工業,1319,15.0,15.0,48.0,54.0,45.0,99,99.0,0.0,12.0,96,12.0,3.0,3.0,84.0,27.0,93,45,78,39.0,36.0,99.0,18.0,24.0,18.0,21.0,1,1,1,1,43
106,廣華-KY,汽車工業,1338,87.0,90.0,84.0,21.0,54.0,63,63.0,3.0,66.0,63,6.0,27.0,15.0,99.0,93.0,90,42,99,96.0,78.0,69.0,21.0,33.0,30.0,81.0,1,1,1,1,59
107,昭輝,汽車工業,1339,27.0,27.0,39.0,93.0,69.0,27,21.0,27.0,75.0,54,84.0,72.0,36.0,21.0,87.0,24,93,3,0.0,69.0,6.0,27.0,99.0,69.0,90.0,1,1,1,1,50
108,瑞利,汽車工業,1512,3.0,0.0,3.0,87.0,39.0,51,51.0,60.0,3.0,33,33.0,18.0,75.0,75.0,60.0,99,0,93,90.0,42.0,45.0,66.0,72.0,72.0,3.0,1,1,1,1,47
109,大億,汽車工業,1521,9.0,12.0,24.0,60.0,33.0,48,48.0,87.0,9.0,30,93.0,33.0,24.0,90.0,3.0,27,9,42,69.0,0.0,93.0,93.0,45.0,51.0,9.0,1,1,1,1,42
110,堤維西,汽車工業,1522,12.0,9.0,12.0,69.0,66.0,6,6.0,99.0,6.0,27,90.0,39.0,18.0,78.0,0.0,30,12,90,87.0,24.0,81.0,90.0,39.0,36.0,6.0,1,1,1,1,41
111,耿鼎,汽車工業,1524,21.0,21.0,15.0,84.0,18.0,21,12.0,39.0,87.0,21,78.0,69.0,45.0,15.0,75.0,33,87,45,57.0,12.0,96.0,87.0,60.0,60.0,75.0,1,1,1,1,49
112,江申,汽車工業,1525,18.0,18.0,30.0,72.0,42.0,57,57.0,81.0,48.0,48,36.0,30.0,72.0,42.0,24.0,12,15,48,72.0,45.0,9.0,84.0,63.0,66.0,36.0,1,1,1,1,45
113,車王電,汽車工業,1533,0.0,3.0,6.0,99.0,75.0,60,60.0,63.0,0.0,9,51.0,93.0,87.0,96.0,99.0,9,18,51,78.0,66.0,12.0,78.0,78.0,78.0,0.0,1,1,1,1,51
