公司名稱,產業類別,資料範圍,用水密集度-單位,取得驗證,資料範圍.1,取得驗證.1,範疇一-資料邊界,範疇一-取得驗證,範疇二-資料邊界,範疇二-取得驗證,範疇三-資料邊界,範疇三-取得驗證,溫室氣體排放密集度-單位,有害廢棄物量-資料範圍,非有害廢棄物量-資料範圍,總重量(有害+非有害)-資料範圍,廢棄物密集度-單位,取得驗證.2,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位)
首利,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,1471.0,1127.0,965.0,764.0,756.0,0.27,0.0,0.0,37069.0,0.1581,1.0,0.178,314.925,5429.9265,40277.67,5.88745,7.0,3.0,2.0,0.2857,0.8286,0.4286,5856.589999999999,1648.73,7505.32,0.62835
信錦,電子零組件業,母公司,,N,,N,母公司,N,母公司,N,,N,,,,,,N,1582.0,1235.0,1074.0,1009.0,869.0,0.16,241.0,0.0,20281.0,6.2103,2.0,0.0,10.49,420.033,675.1101500000001,1.50765,7.0,4.0,1.0,0.143,1.0,1.0,2.22475,22.195,24.41975,0.04145
川湖,電子零組件業,母公司,平方公尺產品表面積,N,,N,母公司及子公司川益科技(股)公司兩個廠區,N,母公司及子公司川益科技(股)公司兩個廠區,N,,N,千組產品,母公司及子公司川益科技(股)公司兩個廠區,母公司及子公司川益科技(股)公司兩個廠區,母公司及子公司川益科技(股)公司兩個廠區,千組產品,ISO 14001,2059.0,937.0,809.0,869.0,703.0,0.2631,0.0,0.0,53857.0,0.0162,5.0,0.2775,619.36,10439.82,59302.935,0.7149,7.0,4.0,2.0,0.2857,0.9388,1.0,44.88,257.96,302.84,0.0167
台達電,電子零組件業,全球據點,產值(單位：百萬美金),ISO14001,全球據點,ISO 50001,全球據點,ISO 14064,全球據點,ISO 14064,全球據點,ISO 14064、AA1000,產值(單位：百萬美金),全球據點,全球據點,全球據點,產值(單位：百萬美金),UL2799、ISO14001,2308.0,1831.0,1625.0,1701.0,1422.0,0.32,236.0,0.0028,4310.3,392.0,35.0,0.576,38807.0,148838.0,6963291.68,17.08,12.0,5.0,3.0,0.25,1.0,1.0,6390.0,47772.0,54162.0,4.93
華通,電子零組件業,111年度,百萬元營業額,N,111年度,N,母公司,ISO 14064,母公司,ISO 14064,母公司,ISO 14064,百萬元營業額,111年度,111年度,111年度,百萬元營業額,N,2313.0,1068.0,907.0,1004.0,894.0,0.15,60.0,0.012,3480.8,0.3,7.0,0.287,3766.0,127775.0,55651.0,11.06,9.0,3.0,1.0,0.1111,0.9167,0.3333,11668.3,3039.5,14707.8,1.24
楠梓電,電子零組件業,僅母公司,產品,N,,ISO 50001,僅母公司,ISO 14064,僅母公司,ISO 14064,,N,產品,僅母公司,僅母公司,僅母公司,產品,N,2316.0,615.0,503.0,534.0,491.0,0.4,9.0,0.0068,1402029.0,0.81,1.0,0.15845,2470.77,45647.6,62.5547,0.028,9.0,3.0,2.0,0.22,0.9815,1.0,2046.69,1086.05,3132.74,0.0018
國巨,電子零組件業,母公司,百萬營業額,N,母公司,N,母公司,ISO 14064,母公司,ISO 14064,母公司,ISO 14064,百萬營業額,母公司,母公司,母公司,百萬營業額,ISO 14001,2327.0,876.0,772.0,740.0,642.0,0.34,8.0,0.002,303028.0,75.0,18.0,0.0,3753.76,113902.59,41747.36,42.89,9.0,3.0,0.0,0.0,0.8283,1.0,5143.01,3954.34,9097.35,2.26
廣宇,電子零組件業,母公司,百萬元營業額,N,母公司為辦公區再生能源為零，子公司規劃建設太陽能站，(目前東廠區建設完畢)。,N,母公司,N,母公司,N,,N,百萬元營業額,母公司,母公司,母公司,百萬元營業額,N,2328.0,2127.0,1811.0,1370.0,1264.0,0.2727,0.0,0.0,1698.0,0.14,2.0,0.0,4.2096,65.0069,350.49545,0.0059,7.0,3.0,0.0,0.0,1.0,0.7143,0.0,8.6,8.6,0.0007
敬鵬,電子零組件業,母公司+ 子公司 敬鵬(常熟)電子有限公司,百萬元營業額,N,,N,母公司+ 子公司 敬鵬(常熟)電子有限公司,N,母公司+ 子公司 敬鵬(常熟)電子有限公司,N,母公司+ 子公司 敬鵬(常熟)電子有限公司,N,百萬元營業額,母公司+ 子公司 敬鵬(常熟)電子有限公司,母公司+ 子公司 敬鵬(常熟)電子有限公司,母公司+ 子公司 敬鵬(常熟)電子有限公司,M2,ISO 14001,2355.0,825.0,706.0,710.0,640.0,0.26,29.0,0.01,3730.3,241.18,1.0,0.151,3605.66,170323.63,11291.37,11.245,9.0,3.0,2.0,0.2222,0.9048,1.0,1813.943,3438.3055,44767.7,0.0145
燿華,電子零組件業,僅母公司,產品,N,,ISO 50001,僅母公司,ISO 14064,僅母公司,ISO 14064,僅母公司,ISO 14064,產品,僅母公司,僅母公司,僅母公司,產品,N,2367.0,791.0,672.0,673.0,605.0,0.1395,2.0,0.0004,2274240.0,0.53,1.0,0.0026,4235.25,111487.12,33568.31,0.04,7.0,3.0,1.0,0.1429,1.0,1.0,8270.0,3138.0,11408.0,0.003
金像電,電子零組件業,合併財務報表之母子公司,百萬元營業額,N,合併財務報表之母子公司,ISO 50001,合併財務報表之母子公司,ISO 14064,合併財務報表之母子公司,ISO 14064,合併財務報表之母子公司,ISO 14064,百萬元營業額,母子公司,母子公司,母子公司,百萬元營業額,ISO 45001,2368.0,1115.0,959.0,887.0,721.0,0.1993,47.0,0.0072,7674670.0,234.0,5.0,0.069,39330.22,269105.99,24904.34,12.777,9.0,3.0,3.0,0.3333,0.9861,1.0,34.443,60.009550000000004,67975.0,2.0734
凱美,電子零組件業,子公司,,N,,N,子公司,N,子公司,N,,N,,子公司,子公司,子公司,,N,2375.0,2097.0,1889.0,774.0,800.0,0.3,0.0,0.0,2525.25,149.673,1.0,0.0004,1192.11,8498.04,350.49545,6932.6320000000005,7.0,3.0,0.0,0.0,0.9,1.0,34.443,65.9967,93.4,962.92225
台光電,電子零組件業,合併財務報表之母子公司(不含美國子公司),千元營業額,N,,N,合併財務報表之母子公司(不含美國子公司),ISO 14064,合併財務報表之母子公司(不含美國子公司),ISO 14064,合併財務報表之母子公司(不含美國子公司),ISO 14064,千元營業額,合併財務報表之母子公司(不含美國子公司),合併財務報表之母子公司(不含美國子公司),合併財務報表之母子公司(不含美國子公司),千元營業額,N,2383.0,1317.0,1148.0,1054.0,786.0,0.1203,22.0,0.0059,592489.0,0.0156,41.0,0.01065,58996.22,97958.22,5717.77,0.0041,7.0,3.0,1.0,0.14,1.0,1.0,19148.04,10882.71,30030.75,0.0008
群光,電子零組件業,群光電子(含海外各廠區，不含子公司),百萬元營業額,N,群光電子(含海外各廠區，不含子公司),ISO 50001,群光電子(含海外各廠區，不含子公司),ISO 14064,群光電子(含海外各廠區，不含子公司),ISO 14064,群光電子(含海外各廠區，不含子公司),ISO 14064,百萬元營業額,群光電子(含海外各廠區，不含子公司),群光電子(含海外各廠區，不含子公司),群光電子(含海外各廠區，不含子公司),百萬元營業額,ISO 14001,2385.0,2757.0,2499.0,1958.0,1676.0,0.1457,31.0,0.0,221193.53,3.0669,18.0,0.1355,7555.21,67148.05,862807.22,1.04,8.0,3.0,1.0,0.125,0.9583,1.0,38.613,5891.865500000001,4066.27,0.0564
正崴,電子零組件業,母公司及主要生產基地之子公司,百萬元營業額,N,母公司及主要生產基地之子公司,ISO 50001,母公司及主要生產基地之子公司11個廠區,ISO 14064,母公司及主要生產基地之子公司11個廠區,ISO 14064,母公司及主要生產基地之子公司11個廠區,ISO 14064,,母公司及主要生產基地之子公司,母公司及主要生產基地之子公司,母公司及主要生產基地之子公司,百萬元營業額,UL2799廢棄物零填埋認證,2392.0,1723.0,1527.0,1082.0,956.0,0.312,66.0,0.0023,3200.0,0.024,2.0,0.636,10563.0,196427.0,1046296.0,6933.51,9.0,3.0,1.0,0.1111,1.0,1.0,2047.0,6701.0,8748.0,0.066
毅嘉,電子零組件業,母公司,百萬元營業額,N,,N,母公司,ISO 14064,母公司,ISO 14064,母公司,ISO 14064,百萬元營業額,母公司,母公司,母公司,百萬元營業額,N,2402.0,844.0,719.0,538.0,439.0,0.23,5.0,0.0233,127488.99,24.8241,1.0,0.00405,485.0875,10109.61,1138.86,2.0644,7.0,3.0,1.0,0.1429,1.0,1.0,125.21,39.79,165.0,0.0322
環科,電子零組件業,母公司,百萬元營業額,N,母公司,N,母公司,N,母公司,N,母公司,N,百萬元營業額,母公司,母公司,母公司,百萬元營業額,N,2413.0,681.0,585.0,558.0,497.0,0.2,4.0,0.0051,26348.0,5.4506,1.0,0.0061,218.8357,3463.74,730.6873,0.9129,11.0,4.0,1.0,0.0909,0.875,1.0,4.0,10.0,14.0,0.0029
錩新,電子零組件業,母公司+錩新科技(越南)公司,百萬元營業額,N,母公司+錩新科技(越南)公司,N,母公司+錩新科技(越南)公司,N,母公司+錩新科技(越南)公司,N,母公司+錩新科技(越南)公司,N,百萬元營業額,母公司+錩新科技(越南)公司,母公司+錩新科技(越南)公司,母公司+錩新科技(越南)公司,百萬元營業額,N,2415.0,1445.0,1191.0,1005.0,904.0,0.6,0.0,0.0,421804.0,421804.0,2.0,0.0,2913.26,12843.56,494.92,40324.21,7.0,3.0,1.0,0.1429,1.0,1.0,2153.82,68.22,2222.04,2222.04
新巨,電子零組件業,母公司,百萬元營業額,N,包含合併財務報表之母子公司,N,包含合併財務報表之母子公司,N,包含合併財務報表之母子公司,N,,N,百萬元營業額,五股廠、樹林廠、新豪廠,五股廠、樹林廠、新豪廠,五股廠、樹林廠、新豪廠,百萬元營業額,N,2420.0,823.0,714.0,593.0,476.0,0.32,0.0,0.0,18411.0,6.97,2.0,0.0,326.0,4480.0,769.28875,1.82,7.0,3.0,1.0,0.1429,0.9762,1.0,1.99,23.99,25.98,0.08
建準,電子零組件業,高雄總部及工廠、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp,百萬元營業額,N,,N,高雄總部及工廠、台北辦事處、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp、Sunon Inc、Sunon SAS、Sunon Electronics India Private Limited,ISO 14064,高雄總部及工廠、台北辦事處、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp、Sunon Inc、Sunon SAS、Sunon Electronics India Private Limited,ISO 14064,高雄總部及工廠、台北辦事處、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp、Sunon Inc、Sunon SAS、Sunon Electronics India Private Limited,ISO 14064,百萬元營業額,高雄總部及工廠、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp,高雄總部及工廠、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp,高雄總部及工廠、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp,百萬元營業額,ISO 14001,2421.0,1227.0,1023.0,1026.0,843.0,0.46,0.0,0.0,311181.0,0.0221,2.0,0.00075,2148.66,22281.16,1830.38,13.02,9.0,4.0,3.0,0.3333,0.9778,0.0,43.444,67.24,110.684,0.0079
興勤,電子零組件業,本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司,KPCS產品,N,,N,本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司,ISO 14064,本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司,ISO 14064,本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司,ISO 14064,KPCS產品,本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司,本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司,本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司,KPCS產品,N,2428.0,972.0,822.0,758.0,560.0,0.47,0.0,0.0,393410.0,0.0404,4.0,0.00075,1070.11,51190.47,2598.38,0.0056,7.0,3.0,1.0,0.1429,1.0,1.0,376.3509,218690.81,219067.16,0.0225
聯昌,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,2431.0,1206.0,1010.0,920.0,764.0,0.0,0.0,0.0,155597.334,0.02155,1.0,0.0349,1101.0104999999999,11564.3225,1221.7753,6.542,10.0,3.0,2.0,0.2,0.94,1.0,9595.742,5474.974999999999,81.24199999999999,0.0058000000000000005
太空梭,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,2440.0,1162.0,964.0,783.0,737.0,0.25,0.0,0.0,3837341.834,117.0105,1.0,0.0349,19691.7905,134976.7375,12758.7553,6.4205,7.0,3.0,1.0,0.1429,1.0,0.2857,209.89745000000002,109379.025,34013.4,1.0385499999999999
飛宏,電子零組件業,母公司,百萬公升/人,N,"31,620kwh",N,母公司,N,母公司,N,母公司,N,百萬元營業額,台灣飛宏:林口總部+台南廠,台灣飛宏:林口總部+台南廠,台灣飛宏:林口總部+台南廠,百萬元營業額,ISO 14001,2457.0,1210.0,1015.0,919.0,794.0,0.3222,7.0,0.0015,13.668,0.021,1.0,0.0008,53.361,847.485,613.1706,0.064,12.0,3.0,0.0,0.0,0.9063,1.0,34.443,62.1055,51.8,0.0037
建通,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,2460.0,707.0,575.0,595.0,530.0,0.0923,0.0,0.0,14320.5,2.7268,1.0,0.00305,4123.41785,104104.87,11249.84365,0.60995,7.0,3.0,0.0,0.0,1.0,1.0,1781.5,3385.5,5167.0,0.008199999999999999
良得電,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,2462.0,1283.0,1073.0,990.0,876.0,0.104,48.0,0.0,155597.334,0.02155,1.0,0.0004,1101.0104999999999,11564.3225,1221.7753,6.542,9.0,3.0,1.0,0.1111,1.0,0.89,9595.742,5474.974999999999,81.24199999999999,0.0058000000000000005
志聖,電子零組件業,母公司,,N,,N,母公司,N,母公司,N,母公司,N,,母公司,母公司,母公司,,N,2467.0,1278.0,1106.0,1189.0,993.0,0.1196,4.0,0.0104,14615.0,5.3975,2.0,0.0,443.088,1438.19,276.1775,1.0239500000000001,9.0,4.0,0.0,0.0,0.9831,0.3333,0.0,175.585,175.585,0.04725
立隆電,電子零組件業,立隆、立隆惠州、立隆蘇州,,N,,N,立隆、立隆惠州、立隆蘇州,N,立隆、立隆惠州、立隆蘇州,N,,N,,立隆、立隆惠州、立隆蘇州,立隆、立隆惠州、立隆蘇州,立隆、立隆惠州、立隆蘇州,,N,2472.0,1850.0,1642.0,1312.0,1278.0,0.378,0.0,0.0,319741.0,15589.9204,2.0,0.03075,557.2,45496.8,2965.58,3.06915,9.0,4.0,0.0,0.0,1.0,1.0,347.828,93.71549999999999,405.4,0.05025
鉅祥,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,2476.0,792.0,688.0,716.0,631.0,0.302,1.0,0.0015,1175472.0,12.860000000000001,1.0,0.0,2333.885,63201.06,22429.84,2.54,7.0,3.0,2.0,0.29,1.0,1.0,4175.105,1588.15,5763.255,0.021500000000000002
大毅,電子零組件業,母公司,百萬元營業額,N,,N,母公司,ISO 14064,母公司,ISO 14064,母公司,ISO 14064,百萬元營業額,母公司,母公司,母公司,百萬元營業額,ISO 14001,2478.0,951.0,837.0,684.0,571.0,0.2842,6.0,0.007,279913.0,55.801,1.0,0.00075,437.6761,25405.36,116.3137,25843.04,9.0,3.0,2.0,0.2222,1.0,1.0,1670.95,190.45,1861.4,0.371
百容,電子零組件業,僅母公司,,N,,N,僅母公司,N,僅母公司,N,,N,,僅母公司,僅母公司,僅母公司,,N,2483.0,657.0,560.0,535.0,469.0,0.11,17.0,0.0265,73750.0,58.595,2.0,0.27,133.4979,3897.99,62.5547,3.09895,9.0,4.0,3.0,0.3333,0.9841,1.0,12.3,90.0,102.3,0.10500000000000001
希華,電子零組件業,母公司,百萬元營業額,N,,N,母公司,N,母公司,N,,N,百萬元營業額,母公司,母公司,母公司,百萬元營業額,N,2484.0,836.0,709.0,702.0,604.0,0.31,0.0,0.0,76704.0,25.19,1.0,0.0075,432.52,14915.0,16690.489550000002,5.04,10.0,3.0,0.0,0.0,0.914,1.0,80.21,38.3,118.51,0.04
華新科,電子零組件業,母公司及主要生產基地之子公司(東莞/蘇州/廣州),產品,N,,N,母公司及主要生產基地之子公司(東莞/蘇州/廣州),ISO 14064,母公司及主要生產基地之子公司(東莞/蘇州/廣州),ISO 14064,僅母公司,ISO 14064,產品,母公司及主要生產基地之子公司(東莞/蘇州/廣州),母公司及主要生產基地之子公司(東莞/蘇州/廣州),母公司及主要生產基地之子公司(東莞/蘇州/廣州),產品,ISO 14001,2492.0,740.0,603.0,580.0,486.0,0.305,5.0,0.0018,2293.0,0.003,1.0,0.151,8028.0,204746.0,21769.0,0.307,7.0,3.0,1.0,0.1429,0.8875,1.0,3559.0,6761.0,10320.0,0.0135
揚博,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,2493.0,1303.0,1141.0,1077.0,882.0,0.25,0.0,0.0,303552.0,0.01885,1.0,0.0004,29719.654000000002,49698.205,2996.97375,6.5120499999999995,7.0,3.0,1.0,0.1428,1.0,0.2857,9574.02,5529.147499999999,15103.1675,0.004350000000000001
健和興,電子零組件業,僅母公司,千元營業額,N,,N,僅母公司,N,僅母公司,N,,N,千元營業額,僅母公司,僅母公司,僅母公司,產品,ISO 14001,3003.0,860.0,727.0,687.0,647.0,0.1748,2.0,0.0028,46371.0,0.0015,1.0,0.27,107.1811,6071.08,62.5547,0.002,7.0,3.0,0.0,0.0,0.9714,0.8571,308.188,327.2455,167.49,0.0
今皓,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,3011.0,997.0,860.0,708.0,620.0,0.133,0.0,0.0,8534618.0,8.5125,1.0,0.0075,37979.995,372981.355,29463.845,0.91105,7.0,3.0,1.0,0.1428,1.0,1.0,57619.15,18053.79,75672.94,0.031149999999999997
全漢,電子零組件業,母公司與部分子公司,百萬元營業額,N,母公司與部分子公司,N,母公司與部分子公司,ISO 14064,母公司與部分子公司,ISO 14064,母公司與部分子公司,ISO 14064,百萬元營業額,母公司與部分子公司,母公司與部分子公司,母公司與部分子公司,百萬元營業額,N,3015.0,1177.0,1024.0,1001.0,877.0,0.3032,3.0,0.004,203650.0,0.0136,2.0,0.0554,911.4,15232.54,36.4,1.0829,10.0,3.0,1.0,0.1,1.0,1.0,56.435,427.43,483.865,0.032
鴻名,電子零組件業,母公司自有辦公區500坪/租用辦公室101坪,,N,,N,母公司自有辦公區(500坪),N,,N,,N,,,,,,N,3021.0,835.0,686.0,722.0,598.0,0.4705,0.0,0.0,3163.0,1.9825000000000002,1.0,0.0,151.19,6488.475,350.49545,0.03495,9.0,3.0,3.0,0.33,0.9365,1.0,0.0,12.4912,54.891200000000005,0.0076
信邦,電子零組件業,集團100%持股之11個據點,"62,026(噸)/30,574.800 (新台幣百萬元,2022年營收)= 2.029",N,集團100%持股之11個據點。能源使用包含電力(再生能源、非再生能源之汽油、柴油、液化石油氣、天然氣)，經換算熱值(GJ)之佔比,ISO 50001,集團100%持股之11個據點,ISO 14064,集團100%持股之11個據點,ISO 14064,集團100%持股之11個據點,ISO 14064,"20,696.16(噸)/30,574.800(新台幣百萬元,2022年營收)= 0.6769",集團100%持股之11個據點,集團100%持股之11個據點,集團100%持股之11個據點,"112.8400(公噸)/30,574.800 (新台幣百萬元,2022年營收)= 0.0037",ISO 14001,3023.0,870.0,736.0,685.0,496.0,0.46,35.0,0.0077,62026.0,2.029,1.0,0.015,2665.71,18030.45,33343.69,0.6769,11.0,3.0,1.0,0.091,1.0,1.0,112.84,1150.66,1263.5,0.0037
禾伸堂,電子零組件業,母公司,產品,N,,N,母公司,N,母公司,N,,N,產品,母公司,母公司,母公司,產品,ISO 14001,3026.0,1019.0,878.0,838.0,665.0,0.4882,5.0,0.0049,273689.0,16.77,4.0,0.00075,320.99,29171.71,76.8014,1.81,9.0,3.0,0.0,0.0,1.0,0.3333,379.3,591.58,970.88,0.06
偉訓,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,3032.0,1407.0,1218.0,999.0,917.0,0.3,0.0,0.0,10670401.0785,76.0068,1.0,0.0277,17950.782,453245.4385,115687.0,3.8964499999999997,9.0,3.0,2.0,0.22,1.0,0.55,147.0625,271.265,60564.795,0.446
欣興,電子零組件業,母公司及部份子公司,百萬元營業額,AWS (國際水資源管理標準),目前尚未使用再生能源。,ISO 50001,母公司及部分子公司,ISO 14064,母公司及部分子公司,ISO 14064,母公司及部分子公司,ISO 14064,百萬元營業額,母公司及部份子公司,母公司及部份子公司,母公司及部份子公司,百萬元營業額,ISO 14001,3037.0,1357.0,1204.0,1099.0,795.0,0.192,46.0,0.0027,21340802.0,152.0,29.0,0.0,35805.35,906274.1,231337.6,6.71,9.0,3.0,1.0,0.11,0.96,1.0,34.443,60.009550000000004,121125.0,0.86
晶技,電子零組件業,2022年自來水總用量,以個體營收計算，單位：新台幣百萬元,N,2022年再生能源使用率,N,台灣晶技平鎮廠,ISO 14064,台灣晶技平鎮廠,ISO 14064,台灣晶技平鎮廠,ISO 14064,產品,台灣晶技平鎮廠,台灣晶技平鎮廠,台灣晶技平鎮廠,以個體營收計算，單位：新台幣百萬元,ISO 14001,3042.0,1149.0,1045.0,1063.0,808.0,0.1628,16.0,0.0145,326820.0,30.8408,6.0,0.0015,307.9305,23107.23,4100.78,0.054,11.0,4.0,2.0,0.1818,0.9697,1.0,237.69,115.1,352.79,0.0333
健鼎,電子零組件業,健鼎-平鎮/無錫/湖北廠區,百萬元營業額,"由TUV驗證並取得白金等級,詳見我司官網www.tripod-tech.com",健鼎-平鎮/無錫/湖北廠區,N,健鼎-平鎮/無錫/湖北廠區,N,健鼎-平鎮/無錫/湖北廠區,N,健鼎-無錫廠區,N,百萬元營業額,健鼎-平鎮/無錫/湖北廠區,健鼎-平鎮/無錫/湖北廠區,健鼎-平鎮/無錫/湖北廠區,百萬元營業額,"由UL驗證的Zero Waste to Landfill Platinum Operations零填埋白金等級認證,詳見我司官網www.tripod-tech.com",3044.0,1079.0,941.0,706.0,492.0,0.1873,0.0,0.0,16795547.0,0.255,4.0,0.0,75639.0,716791.0,25584.0,0.0121,9.0,3.0,1.0,0.11,1.0,1.0,114859.0,35516.0,150375.0,0.0023
立德,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,3058.0,810.0,667.0,774.0,538.0,0.2105,0.0,0.0,32594.5,1.01525,1.0,0.0075,1408.45,12050.765,20941.805,0.33945,8.0,2.0,1.0,0.125,0.95,1.0,85.42,614.33,715.495,0.00185
日電貿,電子零組件業,母公司(新店廠辦及中和廠),,N,,N,母公司(新店廠辦及中和廠),N,母公司(新店廠辦及中和廠),N,,N,,母公司(新店廠辦),母公司(新店廠辦),母公司(新店廠辦),,N,3090.0,1446.0,1191.0,872.0,727.0,0.4634,0.0,0.0,0.157,0.0805,2.0,0.0,96.214,216.777,350.49545,0.03495,10.0,3.0,2.0,0.2,1.0,1.0,34.443,62.1055,4.59,0.0022
鴻碩,電子零組件業,合併財務報表之重要子公司-鴻碩蘇州公司,百萬元營業額,ISO50001;2018,,ISO 50001,合併財務報表之重要子公司-鴻碩蘇州公司,ISO 14064,合併財務報表之重要子公司-鴻碩蘇州公司,ISO 14064,合併財務報表之重要子公司-鴻碩蘇州公司,ISO 14064,百萬元營業額,合併財務報表之重要子公司-鴻碩蘇州公司,合併財務報表之重要子公司-鴻碩蘇州公司,合併財務報表之重要子公司-鴻碩蘇州公司,百萬元營業額,ISO 14001,3092.0,1757.0,1556.0,732.0,652.0,0.2619,382.0,0.1699,123020.0,36.589,1.0,0.00405,1576.45,14909.15,16040.56,9.674,7.0,3.0,0.0,0.0,0.994,1.0,97.048,77.7005,60.738,0.0181
晟鈦,電子零組件業,合併財務報表之母子公司,百萬元營業額,N,,N,,N,合併財務報表之母子公司,N,,N,百萬元營業額,合併財務報表之母子公司,合併財務報表之母子公司,合併財務報表之母子公司,百萬元營業額,ISO 14001,3229.0,686.0,564.0,551.0,481.0,0.0,0.0,0.0,75440.0,92.0,1.0,0.0075,85.8245,4898.0,62.5547,5.97,9.0,3.0,1.0,0.1111,1.0,1.0,58.0,78.0,136.0,0.17
勝德,電子零組件業,僅母公司,,N,僅母公司,N,僅母公司,N,僅母公司,N,,N,,,,,,N,3296.0,943.0,791.0,693.0,655.0,0.3947,0.0,0.0,223.0,0.0805,1.0,0.0,4.7792,203.743,350.49545,0.03495,8.0,3.0,3.0,0.375,0.9545,1.0,34.443,62.1055,28.195,0.0022
聯德,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,3308.0,904.0,749.0,662.0,540.0,0.0,0.0,0.0,55097.5,9.9445,1.0,0.0075,437.3896,7905.3715,17225.845,1.67845,7.0,3.0,2.0,0.2857,1.0,0.1429,59.555,620.5400000000001,680.095,0.009850000000000001
同泰,電子零組件業,母公司,產品,N,,N,,N,,N,,N,,母公司,母公司,母公司,產品,N,3321.0,609.0,506.0,514.0,458.0,0.3182,16.0,0.0337,279668.0,2.9148,1.0,0.0,237.9136,12853.1495,102.06700000000001,12921.633950000001,7.0,3.0,1.0,0.1429,0.93,0.71,179.15,311.9,491.05,0.0051
泰碩,電子零組件業,,,N,,N,,N,,N,,N,,,,,,N,3338.0,1000.0,868.0,816.0,728.0,0.125,0.0,0.0,136956.0,53.915,1.0,0.0,162.8846,14687.726499999999,712.3050000000001,1.50265,9.0,4.0,1.0,0.1111,1.0,1.0,190.87975,305.99,496.86975,0.1
新日興,電子零組件業,僅母公司,百萬元營業額,N,,N,僅母公司,ISO 14064,僅母公司,ISO 14064,僅母公司,ISO 14064,千元個體營收,僅母公司,僅母公司,僅母公司,十萬元營收,N,3376.0,666.0,581.0,634.0,566.0,0.236,22.0,0.0102,204510.0,2.36,7.0,0.0277,926.2556,25701.9,8539.92,0.0031,9.0,3.0,1.0,0.1111,1.0,1.0,100.85,691.19,792.04,0.91
台端,電子零組件業,包含合併財務報表之母子公司,,N,包含合併財務報表之母子公司,N,包含合併財務報表之母子公司,N,包含合併財務報表之母子公司,N,,N,,,,,,N,3432.0,1396.0,1209.0,753.0,708.0,0.5,0.0,0.0,401.0,0.0805,1.0,0.0,0.0,94.8744,350.49545,0.03495,7.0,3.0,2.0,0.2857,1.0,1.0,34.443,62.1055,28.195,0.0022
