,公司代號,公司名稱,產業類別,直接(範疇一)溫室氣體排放量(公噸CO₂e),能源間接(範疇二)溫室氣體排放量(公噸CO₂e),其他間接(範疇三)溫室氣體排放量(公噸CO₂e),溫室氣體排放密集度,再生能源使用率,用水量(公噸(t)),用水密集度,有害廢棄物(公噸(t)),非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t)),廢棄物密集度,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數,職業災害比率,火災件數,火災死傷人數,火災比率(死傷人數/員工總人數),董事會席次(席),獨立董事席次(席),女性董事比率,董事出席董事會出席率,公司年度召開法說會次數(次),ESG,E,S,G,ESG_ByPR
18,1227,佳格,食品工業,35.0,47.0,27.0,79.0,95.0,43.0,51.0,15.0,43.0,43.0,51.0,79.0,75.0,75.0,75.0,79.0,31,55.0,59,59,59.0,19,99,67.0,19.0,11,61.0,40.0,58.0,74.0,53
19,1229,聯華,食品工業,91.0,35.0,95.0,91.0,79.0,87.0,75.0,79.0,95.0,95.0,91.0,99.0,99.0,67.0,67.0,47.0,83,83.0,67,67,67.0,59,11,63.0,91.0,83,62.0,53.0,55.0,73.0,76
20,1231,聯華食,食品工業,51.0,51.0,51.0,75.0,87.0,47.0,43.0,83.0,31.0,31.0,31.0,47.0,47.0,47.0,47.0,91.0,11,15.0,15,11,11.0,63,47,91.0,95.0,79,69.0,63.0,70.0,70.0,50
21,1232,大統益,食品工業,43.0,19.0,79.0,27.0,43.0,71.0,59.0,87.0,59.0,59.0,71.0,91.0,91.0,99.0,99.0,59.0,87,91.0,71,71,71.0,83,79,51.0,43.0,51,63.0,67.0,60.0,65.0,67
22,1233,天仁,食品工業,95.0,83.0,67.0,71.0,63.0,75.0,35.0,91.0,67.0,67.0,39.0,19.0,19.0,31.0,23.0,67.0,35,39.0,75,75,75.0,67,51,51.0,75.0,55,68.0,58.0,73.0,69.0,58
23,1234,黑松,食品工業,47.0,55.0,39.0,63.0,55.0,31.0,83.0,95.0,51.0,51.0,95.0,67.0,67.0,79.0,79.0,39.0,75,67.0,79,79,79.0,91,55,75.0,27.0,59,69.0,79.0,60.0,73.0,65
24,1235,興泰,食品工業,99.0,99.0,75.0,19.0,67.0,99.0,47.0,47.0,87.0,87.0,83.0,11.0,11.0,15.0,15.0,71.0,95,95.0,83,83,83.0,15,59,71.0,63.0,63,57.0,45.0,65.0,56.0,63
25,1236,宏亞,食品工業,75.0,67.0,63.0,31.0,83.0,91.0,71.0,67.0,83.0,83.0,87.0,23.0,23.0,19.0,19.0,99.0,39,27.0,87,87,87.0,11,91,99.0,55.0,67,69.0,55.0,70.0,75.0,63
26,1256,鮮活果汁-KY,食品工業,79.0,39.0,83.0,39.0,15.0,59.0,31.0,39.0,35.0,35.0,19.0,71.0,71.0,71.0,71.0,83.0,23,19.0,91,91,91.0,27,67,67.0,83.0,71,56.0,44.0,53.0,66.0,57
27,1301,台塑,塑膠工業,4.0,0.0,4.0,0.0,0.0,4.0,14.0,9.0,0.0,0.0,14.0,99.0,99.0,99.0,99.0,44.0,49,44.0,99,99,99.0,99,99,79.0,34.0,99,70.0,68.0,63.0,81.0,50
28,1303,南亞,塑膠工業,9.0,9.0,9.0,19.0,34.0,9.0,19.0,4.0,9.0,9.0,29.0,64.0,69.0,74.0,74.0,14.0,19,54.0,9,9,9.0,89,29,74.0,59.0,84,76.0,96.0,48.0,80.0,34
29,1304,台聚,塑膠工業,54.0,24.0,24.0,74.0,4.0,44.0,74.0,54.0,84.0,84.0,99.0,79.0,79.0,79.0,79.0,4.0,54,29.0,14,14,14.0,49,89,59.0,24.0,94,66.0,62.0,58.0,81.0,53
