公司名稱,產業類別,資料範圍,用水密集度-單位,取得驗證,資料範圍.1,取得驗證.1,範疇一-資料邊界,範疇一-取得驗證,範疇二-資料邊界,範疇二-取得驗證,範疇三-資料邊界,範疇三-取得驗證,溫室氣體排放密集度-單位,有害廢棄物量-資料範圍,非有害廢棄物量-資料範圍,總重量(有害+非有害)-資料範圍,廢棄物密集度-單位,取得驗證.2,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位)
大飲,食品工業,僅母公司,,,,,僅母公司,N,,N,,N,,僅母公司,僅母公司,僅母公司,,,1213.0,513.0,435.0,446.0,402.0,0.03,0.0,0.0,98.587,0.0444,1.0,0.1345,693.73,7525.072,1895.0571,1.2984,9.0,3.0,1.0,0.11,0.93,0.11,72.13,12.155,84.285,0.39630000000000004
卜蜂,食品工業,南投肉食品加工廠、台中飼料廠、高雄飼料廠,,N,,N,南投肉食品加工廠、台中飼料廠、高雄飼料廠,N,南投肉食品加工廠、台中飼料廠、高雄飼料廠,N,,N,南投肉食品加工廠:7.0噸CO2e/百萬營收 ; 飼料廠:0.0267噸CO2e/產量(噸),南投肉食品加工廠、台中飼料廠、高雄飼料廠,南投肉食品加工廠、台中飼料廠、高雄飼料廠,南投肉食品加工廠、台中飼料廠、高雄飼料廠,,N,1215.0,892.0,766.0,579.0,497.0,0.06,18.0,0.0082,922914.0,14985.135,1.0,0.1345,45272.0,39870.0,4026.0550000000003,7.0,8.0,3.0,0.0,0.0,0.875,1.0,0.0,30071.6,30071.6,38.220600000000005
統一,食品工業,僅母公司,營業收入千萬元,N,僅母公司,N,僅母公司,ISO 14064,僅母公司,ISO 14064,僅母公司,ISO 14064,營業收入千萬元,僅母公司,僅母公司,僅母公司,營業收入千萬元,ISO 14001,1216.0,1408.0,1244.0,1217.0,1043.0,0.2239,5.0,0.0009,4232747.0,992.97,6.0,0.0,58384.0,96160.0,1391235.0,36.25,13.0,3.0,3.0,0.2208,0.989,1.0,3.0,35751.0,35754.0,8.39
愛之味,食品工業,母公司自來水用量,產品,N,,N,母公司之天然氣與燃料油,N,母公司之外購電力、外購蒸氣、自來水,N,,N,產品,母公司之污泥、廢食用油、菜渣、生活垃圾、資源回收,母公司之污泥、廢食用油、菜渣、生活垃圾、資源回收,母公司之污泥、廢食用油、菜渣、生活垃圾、資源回收,產品,N,1217.0,804.0,671.0,684.0,582.0,0.3398,5.0,0.009,416493.0,58.7,1.0,0.1345,1540.0,5799.0,2923.895,1.03,9.0,3.0,0.0,0.0,0.8548,0.6019,0.0,2665.5,2665.5,0.376
泰山,食品工業,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,營業額,N,,N,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO14064-1,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO14064-1,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO14064-1,營業額,泰山公司所屬田中食品廠、田中油脂廠、水產飼料廠、北斗牧場,泰山公司所屬田中食品廠、田中油脂廠、水產飼料廠、北斗牧場,泰山公司所屬田中食品廠、田中油脂廠、水產飼料廠、北斗牧場,營業額,N,1218.0,946.0,803.0,737.0,634.0,0.239,7.0,0.0107,616697.0,71.543,1.0,0.1345,3097.19,6394.41,1795.68,1.1011,9.0,3.0,1.0,0.1111,1.0,0.4444,0.0,1452.99,1452.99,0.3819
福壽,食品工業,母公司、子公司,營業額,N,,ISO 50001,資料涵蓋範圍母公司兩個主要生產廠域,ISO 14064,資料涵蓋範圍母公司兩個主要生產廠域,ISO 14064,資料涵蓋範圍母公司兩個主要生產廠域,ISO 14064,營業額,母公司、子公司,母公司、子公司,母公司、子公司,營業額,N,1219.0,807.0,675.0,647.0,599.0,0.143,8.0,0.013,396858.0,0.0268,1.0,0.1345,6960.2,10597.88,4052.11,1.6,9.0,3.0,3.0,0.3333,0.9444,1.0,0.105,459.94,460.045,0.0
台榮,食品工業,本公司雲林廠及高雄飼料廠,營業額(億元),N,,N,本公司雲林廠,N,本公司雲林廠,N,,N,營業額(億元),本公司雲林廠及高雄飼料廠,本公司雲林廠及高雄飼料廠,本公司雲林廠及高雄飼料廠,營業額(億元),N,1220.0,696.0,582.0,603.0,553.0,0.1379,1.0,0.0046,790354.0,29966.15,1.0,0.1345,15926.79,15347.26,4026.0550000000003,1900.46,12.0,3.0,2.0,0.1667,0.9655,0.0833,0.0,2015.87,2015.87,76.4312
福懋油,食品工業,涵蓋範圍:僅母公司,,N,,N,涵蓋範圍:僅母公司,N,涵蓋範圍:僅母公司,N,,N,,涵蓋範圍:僅母公司,涵蓋範圍:僅母公司,涵蓋範圍:僅母公司,,N,1225.0,902.0,767.0,701.0,614.0,0.087,2.0,0.0087,58085.0,39.4513,1.0,0.1345,2392.59,2318.64,1895.0571,3.6872999999999996,9.0,3.0,2.0,0.2222,1.0,1.0,0.26,627.25,627.51,0.76025
佳格,食品工業,佳格母公司,萬元營業額,N,,N,佳格母公司,N,佳格母公司,N,,N,萬元營業額,佳格母公司,佳格母公司,佳格母公司,萬元營業額,ISO 14001,1227.0,1195.0,981.0,827.0,758.0,0.3,8.0,0.008,427914.0,0.342,1.0,0.1345,8844.0,11921.0,2923.895,0.017,7.0,3.0,1.0,0.1429,0.8,0.4286,3.31,5344.0,5347.31,0.0043
聯華,食品工業,"母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",營業額;單位為新台幣佰萬元,N,,N,"母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018,"母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018,"母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018,營業額;單位為新台幣佰萬元,"母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司","母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司","母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",營業額;單位為新台幣佰萬元,N,1229.0,4077.0,3804.0,738.0,673.0,0.22,0.0,0.0,51.77,0.0082,2.0,0.1345,1315.32,14868.51,3014.27,2.57,10.0,3.0,1.0,0.1,0.93,1.0,0.0,282.99,282.99,0.045
聯華食,食品工業,臺灣地區的總公司及各工廠之所有營運相關之活動,百萬營業額,N,,N,臺灣地區的總公司及各工廠之所有營運相關之活動,N,臺灣地區的總公司及各工廠之所有營運相關之活動,N,,N,百萬營業額,臺灣地區的總公司及各工廠之所有營運相關之活動,臺灣地區的總公司及各工廠之所有營運相關之活動,臺灣地區的總公司及各工廠之所有營運相關之活動,百萬營業額,N,1231.0,787.0,661.0,634.0,534.0,0.3,21.0,0.0001,595.357,0.0626,1.0,0.1345,7847.94,15704.24,1895.0571,2.4782,9.0,3.0,2.0,0.222,1.0,1.0,0.0,7104.78,7104.78,0.7476
大統益,食品工業,僅母公司,黃豆總加工量,N,,ISO 50001,僅母公司,ISO 14064,僅母公司,ISO 14064,,N,黃豆總加工量,僅母公司,僅母公司,僅母公司,黃豆總加工量,ISO 14001,1232.0,1996.0,1758.0,1591.0,1382.0,0.2727,1.0,0.0069,236050.0,0.237,1.0,0.1345,4089.62,112170.89,2413.9771,0.1249,11.0,3.0,0.0,0.0,0.97,1.0,0.0,1951.0,1951.0,0.002
天仁,食品工業,本公司天仁茶業股份有限公司直營單位,分母以營業額為百萬元之計算,N,,N,,N,本公司天仁茶業股份有限公司直營單位,N,,N,分母以營業額為百萬元之計算,本公司天仁茶業股份有限公司直營單位,本公司天仁茶業股份有限公司直營單位,本公司天仁茶業股份有限公司直營單位,分母以營業額為百萬元之計算,N,1233.0,480.0,394.0,509.0,455.0,0.4546,16.0,0.0116,87230.0,78.9026,1.0,0.1345,2635.3100000000004,2617.0,1895.0571,2.0646,7.0,2.0,0.0,0.0,0.9714,1.0,0.13,525.985,1350.0,1.5205
黑松,食品工業,中壢廠,產品,N,台北總公司、中壢廠與斗六廠,ISO 50001,台北總公司、中壢廠與斗六廠,ISO 14064-1：2018,台北總公司、中壢廠與斗六廠,ISO 14064-1：2018,台北總公司、中壢廠與斗六廠,ISO 14064-1：2018,產品,中壢廠,中壢廠,中壢廠,產品,N,1234.0,935.0,773.0,779.0,577.0,0.1266,4.0,0.007,809000.0,4.12,1.0,0.006,9166.63,15150.75,6256.43,0.16,14.0,3.0,3.0,0.214,0.92,1.0,0.8,2614.0,2614.8,0.01
興泰,食品工業,依110年台灣自來水公司使用度數資訊,營業額,N,,N,依108年製成排放量檢測結果換算110年母子公司排放量,N,依110年台灣電力公司記錄排放量資訊之母子公司排放量,N,,N,營業額,,,,,N,1235.0,492.0,410.0,395.0,406.0,0.3333,1.0,0.05,3310.0,0.0806,1.0,0.1345,919.2922,181.634,1895.0571,0.0268,7.0,3.0,1.0,0.1429,0.9881,0.5714,36.065,147.5725,183.6375,0.39630000000000004
宏亞,食品工業,母公司,營業額,N,母公司,N,母公司,N,母公司,N,,N,營業額,母公司,母公司,母公司,營業額,N,1236.0,598.0,500.0,487.0,457.0,0.4722,6.0,0.0096,47513.0,0.0,1.0,0.263,2878.03,6477.88,1895.0571,5.31,6.0,3.0,3.0,0.5,0.9583,1.0,0.0,424.72,424.72,0.0
鮮活果汁-KY,食品工業,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,營業額,N,,N,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,GRI Standards,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,GRI Standards,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,N,營業額,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,營業額,N,1256.0,1001.0,849.5,822.0,711.0,0.3415,24.0,0.0266,175016.0,48.586,1.0,0.1345,3076.73,15070.9,775.8442,0.0041,8.0,3.0,2.0,0.25,1.0,1.0,1.0241,1962.61,1963.63,0.0005
南僑,食品工業,資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,營業額,N,,N,範疇一資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,N,範疇二資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,N,,N,營業額,資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,營業額,N,1702.0,2853.0,2627.0,1009.0,729.0,0.375,0.0,0.0,1628537.0,0.0825,2.0,0.1345,74520.9,105527.38,4026.0550000000003,9.07,9.0,3.0,2.0,0.2222,0.6543,1.0,30.0,13912.0,13942.0,0.701
臺鹽,食品工業,臺鹽總公司、妝品廠、保健廠、通霄廠、儲運所、七股鹽場共6場域,產品,N,,N,,N,臺鹽總公司、妝品廠、保健廠、通霄廠、儲運所、七股鹽場共6場域,N,,N,,生活垃圾、其他廢玻璃、陶瓷、磚、瓦及黏土等混合物、無機性污泥、滅菌後之非感染性事業廢棄物、毒性化合物-汞、廢紙、廢潤滑油、廢塑膠、廢鐵,生活垃圾、其他廢玻璃、陶瓷、磚、瓦及黏土等混合物、無機性污泥、滅菌後之非感染性事業廢棄物、毒性化合物-汞、廢紙、廢潤滑油、廢塑膠、廢鐵,生活垃圾、其他廢玻璃、陶瓷、磚、瓦及黏土等混合物、無機性污泥、滅菌後之非感染性事業廢棄物、毒性化合物-汞、廢紙、廢潤滑油、廢塑膠、廢鐵,,N,1737.0,1128.0,954.0,950.0,872.0,0.26,484.0,0.0,12125453.0,58.649,2.0,0.003,34759.585,26275.02,698745.715,18.235,8.0,3.0,2.0,0.25,1.0,0.88,2.16,20067.614999999998,623.48,4.2095
立萬利,食品工業,,,N,,N,,N,,N,,N,,,,,,N,3054.0,1175.0,1003.0,947.0,824.0,0.33,0.0,0.0,6276683.5,29.4955,1.0,0.003,9005.314999999999,19098.010000000002,4026.0550000000003,0.0885,9.0,3.0,2.0,0.2222,0.9861,1.0,2.055,3979.0,2985.3950000000004,0.00715
台塑,塑膠工業,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.73,耗水量/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.73,ISO 14046,母公司,N,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 14064,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 14064,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 14064,範疇一+範疇二/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.66,母公司,母公司,母公司,廢棄物總量/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.81,N,1301.0,1475.0,1276.0,1506.0,1403.0,0.0651,6.0,0.0009,24602210.0,17679.46,4.0,0.0,3966548.0,4668706.0,11332873.0,6205.4,15.0,4.0,2.0,0.13,0.9143,1.0,2928.0,235519.0,238447.0,113.18
南亞,塑膠工業,母公司,單位:公噸/110年個體營業額(千元)。,ISO 14046,"母公司，已規劃分二階段於各廠區廠房屋頂建置太陽能發電設備，至119年，預計設置總容量約51,625KW，預估占台電契約容量29.4%(高於政府用電大戶條款規定的10%)，其中，新港配電盤廠廠房屋頂1,500KW太陽能發電設備建置投資案，於110年完成發包，進入施工階段。",1.ISO 50001能源管理系統:林口廠、樹林二廠、嘉義一廠、新港CCL一廠、新港CCL三廠。2.	綠色工廠標章: 樹林二廠、新港CCL一廠、新港CCL三廠。3.綠建築標章:林口製膜二廠(銀級標章),揭露母公司110年度溫室氣體排放量。,ISO 14064,揭露母公司110年度溫室氣體排放量。,ISO 14064,揭露母公司110年度溫室氣體排放量。,ISO 14064,單位:噸CO2e/110年個體營業額(千元)；其他說明：本次申報之營業額均以母公司當期個體營收(千元)計算。,母公司,母公司,母公司,單位:公噸/110年個體營業額(千元)。,ISO 14001,1303.0,1401.0,1242.0,1410.0,1369.0,0.0421,8.0,0.0007,20830240.0,0.0958,6.0,0.0,2499081.0,3636122.0,14868345.0,0.028,15.0,3.0,2.0,0.13,0.9778,1.0,6023.3,122868.0,128891.3,0.0006
台聚,塑膠工業,台聚高雄廠,產品,ISO 46001,,ISO 50001,台聚高雄廠,ISO 14064,台聚高雄廠,ISO 14064,台聚高雄廠,ISO 14064,產品,台聚高雄廠,台聚高雄廠,台聚高雄廠,產品,ISO 14001,1304.0,1858.0,1609.0,1471.0,1318.0,0.0108,0.0,0.0,998098.0,4.002,2.0,0.25145,16383.8,131602.71,186.55,0.595,9.0,3.0,0.0,0.0,0.9778,1.0,22.23,868.59,890.82,0.0036
華夏,塑膠工業,華夏頭份廠、華聚林園廠、台氯林園廠,產品,N,,ISO 50001,華夏頭份廠、華聚林園廠、台氯林園廠。,ISO 14064,華夏頭份廠、華聚林園廠、台氯林園廠。,ISO 14064,,N,產品,華夏頭份廠、華聚林園廠、台氯林園廠。,華夏頭份廠、華聚林園廠、台氯林園廠。,華夏頭份廠、華聚林園廠、台氯林園廠。,產品,ISO 14001,1305.0,1366.0,1188.0,1190.0,1165.0,0.0333,4.0,0.006,2964600.0,2.62,4.0,0.25145,158309.26,227328.96,115778.29,0.34,9.0,3.0,0.0,0.0,0.9778,1.0,38.31,3401.9,3440.21,0.003
三芳,塑膠工業,母公司,百萬營業額,N,,N,母公司,ISO 14064,母公司,ISO 14064,,N,百萬營業額,母公司,母公司,母公司,百萬營業額,N,1307.0,806.0,675.0,627.0,600.0,0.1,1.0,0.0013,165861.0,219.39,1.0,0.25145,10395.64,23791.92,117308.38,44.98,7.0,3.0,0.0,0.0,0.968,1.0,155.5,896.89,2153.0,2.85
亞聚,塑膠工業,亞聚林園廠,產品,N,,ISO 50001,亞聚林園廠,ISO 14064,亞聚林園廠,ISO 14064,亞聚林園廠,ISO 14064,產品,亞聚林園廠,亞聚林園廠,亞聚林園廠,產品,ISO 14001,1308.0,1714.0,1462.0,1439.0,1346.0,0.0312,0.0,0.0,508888.0,3.74,1.0,0.25145,10133.69,102834.27,231370.03,0.83,9.0,3.0,0.0,0.0,1.0,1.0,0.0,395.56,395.56,0.0029
台達化,塑膠工業,前鎮廠、林園廠、頭份廠、中山廠,產品,N,,ISO 50001,前鎮廠、林園廠、頭份廠、中山廠,N,前鎮廠、林園廠、頭份廠、中山廠,N,,N,產品,前鎮廠、林園廠、頭份廠、中山廠,前鎮廠、林園廠、頭份廠、中山廠,前鎮廠、林園廠、頭份廠、中山廠,產品,ISO 14001,1309.0,1568.0,1353.0,1366.0,1280.0,0.1538,0.0,0.0,1110246.0,1.95,1.0,0.25145,14935.0,75481.0,115778.29,2.702,9.0,5.0,1.0,0.11,0.9815,0.8182,0.0,3587.0,3587.0,0.0068
台苯,塑膠工業,110年高雄廠原水用量。,產品,N,,N,台苯高雄廠,ISO 14064,台苯高雄廠,ISO 14064,,N,產品,台苯高雄廠,台苯高雄廠,台苯高雄廠,產品,N,1310.0,1374.0,1117.0,1059.0,1018.0,0.2,2.0,0.0107,1427585.0,3.77,1.0,0.25145,331800.81,33435.71,115778.29,0.957,11.0,3.0,0.0,0.0,1.0,1.0,5.13,14367.38,14372.51,0.04
