公司名稱,產業類別,資料範圍,用水密集度-單位,取得驗證,資料範圍.1,取得驗證.1,範疇一-資料邊界,範疇一-取得驗證,範疇二-資料邊界,範疇二-取得驗證,範疇三-資料邊界,範疇三-取得驗證,溫室氣體排放密集度-單位,有害廢棄物量-資料範圍,非有害廢棄物量-資料範圍,總重量(有害+非有害)-資料範圍,廢棄物密集度-單位,取得驗證.2,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位)
台泥,水泥工業,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),產品,ISO 50001,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠、子公司和平電力),ISO 50001,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),ISO 14064,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),ISO 14064,台泥台灣個體公司(涵蓋營運集團總部、研究室、2座水泥廠),ISO 14064,產品,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),產品,ISO 14001,1101.0,1184.0,1043.0,1082.0,958.0,0.2621,1.0,0.0009,2996430.0,0.4821,1.0,0.0001,4798945.0,220392.0,29575.0,0.807,15.0,5.0,4.0,0.27,0.9619,1.0,0.0,2883.55,2883.55,0.0005
亞泥,水泥工業,亞泥個體公司,產品,N,亞泥個體公司,ISO 50001,亞洲水泥個體公司,ISO 14064,亞洲水泥個體公司,ISO 14064,亞洲水泥個體公司,ISO 14064,產品,亞泥個體公司,亞泥個體公司,亞泥個體公司,產品,ISO14001、ISO9001,1102.0,1353.0,1214.0,1110.0,1003.0,0.2231,0.0,0.0,2462000.0,0.668,18.0,0.0,2967231.0,172203.0,419501.0,0.852,14.0,3.0,0.0,0.0,0.97,1.0,0.0,1769.9750000000001,3816.0,0.001
嘉泥,水泥工業,包含企業團所有台灣營運據點（用水量含總部嘉新大樓承租戶）及日本沖繩飯店；目前統計尚不含大陸地區。,"營業額 2,197,183 (仟元)",N,,ISO 50001,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,"營業額2,042,623 (仟元)",合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,"營業額 2,042,623 (仟元)",N,1103.0,1797.0,1553.0,1139.0,923.0,0.4,0.0,0.0,122.0,0.0555,4.0,5e-05,209.1565,4007.2,1353.95,0.0027,7.0,3.0,0.0,0.0,0.9592,1.0,0.0,370.59499999999997,239.975,0.0001
環泥,水泥工業,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場之自來水用量,產值(新台幣千元),N,,N,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,N,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,N,,N,產值(新台幣千元),母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,產值(新台幣千元),N,1104.0,992.0,842.0,760.0,678.0,0.1847,0.0,0.0,19100.0,0.005,2.0,5e-05,18362.0,18273.0,210427.475,0.0095,7.0,3.0,0.0,0.0,1.0,1.0,0.0,656.4,656.4,0.0002
幸福,水泥工業,幸福水泥(股)公司東澳廠,產品,N,,N,幸福水泥(股)公司東澳廠,ISO 14064,幸福水泥(股)公司東澳廠,ISO 14064,,N,產品,,,,,N,1108.0,640.0,523.0,523.0,478.0,0.2857,3.0,0.0066,972782.0,1.572,1.0,5e-05,568272.2,39493.34,210427.475,0.52,7.0,3.0,2.0,0.2857,1.0,1.0,0.0,370.59499999999997,386.68,0.00015000000000000001
信大,水泥工業,僅信大母公司南聖湖工廠,,N,,N,僅信大母公司南聖湖工廠,ISO 14064,僅信大母公司南聖湖工廠,ISO 14064,,N,,僅信大母公司南聖湖工廠,僅信大母公司南聖湖工廠,僅信大母公司南聖湖工廠,,N,1109.0,772.0,641.0,664.0,624.0,0.3,0.0,0.0,224407.04,0.01515,1.0,5e-05,574039.84,43746.29,210427.475,0.021750000000000002,9.0,3.0,1.0,0.1111,0.9388,0.2222,0.0,370.59499999999997,116.96,0.00015000000000000001
東泥,水泥工業,工廠,產品,N,,N,工廠,N,工廠,N,,N,產品,工廠,工廠,工廠,產品,N,1110.0,776.0,615.0,603.0,587.0,0.1765,1.0,0.0133,17600.0,0.0253,1.0,5e-05,2738.0,20881.0,210427.475,0.034,10.0,3.0,1.0,0.1,0.975,1.0,0.0,84.79,84.79,0.0001
味全,食品工業,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)_x000D_
2.台中廠、斗六廠為地下水1,307,550公噸佔68.6%，總公司、中央研究所、營業所、高雄廠為自來水598,866公噸佔31.4%。",產品,N,,ISO 50001,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。_x000D_
2.直接擁有或控制的排放源所直接排放的溫室氣體_x000D_
 含2-1營業所/工廠購汽油柴油鍋爐天然氣等排放及辦公室人員活動之化糞池清除作業散逸排放。_x000D_
 含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。",N,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。_x000D_
2.外購電力產生溫室氣體排放。",N,,N,產品,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。_x000D_
2.110年廢棄物重量為4385.55公噸，包含非有害廢棄物4384.23公噸及有廢棄物1.32公噸。_x000D_
  廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及堆肥自行處理為主、焚化處理次之)。_x000D_
3.110年廢棄物回收再利用及堆肥量等共計4225.51公噸，資源回收再利用率為 96.4%。","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。_x000D_
2.110年廢棄物重量為4385.55公噸，包含非有害廢棄物4384.23公噸及有廢棄物1.32公噸。_x000D_
  廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及堆肥自行處理為主、焚化處理次之)。_x000D_
3.110年廢棄物回收再利用及堆肥量等共計4225.51公噸，資源回收再利用率為 96.4%。","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。_x000D_
2.110年廢棄物重量為4385.55公噸，包含非有害廢棄物4384.23公噸及有廢棄物1.32公噸。_x000D_
  廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及堆肥自行處理為主、焚化處理次之)。_x000D_
3.110年廢棄物回收再利用及堆肥量等共計4225.51公噸，資源回收再利用率為 96.4%。",產品,ISO 14001,1201.0,887.0,745.0,735.0,657.0,0.2838,6.0,0.0437,1906416.0,12.82,1.0,0.1345,11135.17,21106.03,4026.0550000000003,0.22,9.0,3.0,0.0,0.0,0.956,1.0,1.32,4384.23,4385.55,0.029
味王,食品工業,自來水+地下水,營業額,N,,N,母公司,N,母公司,N,,N,營業額,一般廢棄物+實驗廢液,一般廢棄物+實驗廢液,一般廢棄物+實驗廢液,營業額,N,1203.0,649.0,566.0,585.0,555.0,0.0882,5.0,0.0069,325390.0,146.457,1.0,0.1345,7168.95,4233.84,2413.9771,5.132,15.0,3.0,1.0,0.067,0.744,0.133,3.2,974.6,977.8,0.44
大成,食品工業,,,N,,N,,N,,N,,N,,,,,,N,1210.0,827.0,696.0,697.0,598.0,0.15,13.0,0.0055,295754.5,53.643,2.0,0.1345,2308.365,10434.95,2413.9771,0.51705,10.0,3.0,0.0,0.0,0.9667,1.0,0.51205,2314.055,2314.565,0.18825
