,Unnamed: 0,公司代號,公司名稱,產業類別,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-比率,董事出席董事會出席率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG_ByPR
33,33,1305,華夏,塑膠工業,49,54,59,34,19,14,19,19,64,89,44,39,24,84,79,39,9,84,44,54,34,39,69,50,38,47,47
34,34,1307,三芳,塑膠工業,34,34,34,64,44,44,34,54,9,4,19,64,69,64,19,74,14,79,24,39,64,49,9,42,41,40,42
35,35,1308,亞聚,塑膠工業,79,79,79,19,14,74,79,49,59,9,69,69,39,34,54,44,19,74,64,89,84,84,74,64,68,37,58
36,36,1309,台達化,塑膠工業,74,74,69,29,54,69,74,34,69,14,64,59,44,79,39,49,99,34,59,84,29,34,54,54,65,52,56
37,37,1310,台苯,塑膠工業,54,49,54,39,59,29,4,29,54,19,59,34,59,74,49,19,24,69,94,79,19,24,49,48,38,47,46
38,38,1312,國喬,塑膠工業,99,94,99,4,74,59,64,24,14,24,54,29,84,69,24,64,29,9,19,64,24,19,14,38,70,36,45
39,39,1313,聯成,塑膠工業,89,89,64,49,89,34,9,64,19,29,49,44,89,59,29,24,34,64,69,19,44,54,19,44,56,52,50
40,40,1314,中石化,塑膠工業,59,59,49,44,29,49,49,14,94,39,79,24,29,24,99,54,44,29,9,0,14,14,99,45,52,34,41
41,41,1315,達新,塑膠工業,29,29,29,74,94,39,24,94,79,34,74,84,99,49,59,59,79,54,29,94,89,94,79,81,37,58,63
42,42,1321,大洋,塑膠工業,39,39,39,54,39,19,14,99,74,69,9,94,54,44,84,29,84,4,34,69,74,79,59,67,34,43,51
43,43,1323,永裕,塑膠工業,19,19,24,79,69,54,29,59,89,44,84,99,64,94,94,14,89,44,79,99,94,99,89,88,37,56,65
44,44,1324,地球,塑膠工業,24,14,14,84,79,64,59,89,99,49,4,79,74,39,64,94,49,49,84,44,99,89,94,70,43,67,62
45,45,1325,恆大,塑膠工業,0,0,0,99,99,79,69,74,39,54,39,89,79,29,74,79,54,0,54,29,49,59,34,54,41,57,51
46,46,1326,台化,塑膠工業,84,84,94,0,4,24,54,0,4,74,89,0,9,0,4,9,59,39,4,49,0,0,0,14,57,32,32
47,47,1337,再生-KY,塑膠工業,9,9,9,89,49,84,84,84,44,59,29,14,19,19,14,84,64,94,14,24,59,69,39,38,47,61,49
48,48,1340,勝悅-KY,塑膠工業,4,4,4,94,0,94,94,79,49,64,24,9,14,14,9,89,69,14,74,34,54,64,44,36,49,52,45
49,49,1341,富林-KY,塑膠工業,44,44,44,59,64,0,0,69,29,84,0,74,94,54,44,69,74,59,89,14,39,44,29,45,32,73,47
50,50,4306,炎洲,塑膠工業,14,24,19,69,84,99,99,44,24,0,14,49,49,89,34,99,0,99,99,74,79,29,24,46,54,64,56
51,51,1316,上曜,建材營造,53,69,5,85,25,99,99,73,53,97,99,33,79,87,35,79,0,99,57,99,0,71,21,59,68,60,62
52,52,1436,華友聯,建材營造,31,29,37,43,27,5,0,99,43,1,59,49,93,63,33,29,71,79,43,41,21,49,7,51,24,42,42
53,53,1438,三地開發,建材營造,1,1,0,97,89,27,25,67,0,35,57,5,15,35,11,53,39,19,0,39,31,77,81,38,25,39,36
54,54,1439,雋揚,建材營造,81,67,45,25,43,29,29,93,0,33,55,51,83,57,9,51,37,47,69,37,33,65,1,44,46,47,46
55,55,1442,名軒,建材營造,41,35,41,47,99,21,31,89,91,31,53,79,89,61,87,49,35,15,67,35,29,67,9,63,36,49,50
56,56,1453,大將,建材營造,0,0,0,93,65,37,21,65,0,29,51,7,13,43,13,47,33,39,39,33,37,75,79,38,25,42,39
57,57,1456,怡華,建材營造,3,5,1,79,43,19,37,41,0,27,49,3,0,55,7,9,0,67,65,31,97,93,73,41,24,35,37
58,58,1472,三洋實業,建材營造,0,0,0,99,89,39,41,63,0,25,47,9,11,37,15,45,31,45,19,29,39,73,77,36,30,42,38
59,59,1805,寶徠,建材營造,33,39,13,77,57,49,47,91,1,23,45,11,91,31,17,15,29,57,11,27,35,69,75,45,43,32,42
60,60,1808,潤隆,建材營造,57,59,61,39,57,47,19,95,81,21,35,89,87,59,93,43,27,31,45,25,0,81,97,67,47,37,56
61,61,2442,新美齊,建材營造,87,43,87,15,49,45,49,37,83,77,43,57,85,93,19,41,25,83,63,23,57,85,87,61,54,56,58
62,62,2501,國建,建材營造,63,65,69,19,67,13,7,55,37,19,41,83,47,51,21,31,23,65,71,21,13,45,0,38,39,46,39
63,63,2504,國產,建材營造,65,83,51,29,61,0,11,15,63,89,0,61,35,0,27,0,21,73,73,17,11,17,43,26,40,53,36
64,64,2505,國揚,建材營造,85,85,71,21,93,41,43,9,61,17,0,0,21,65,29,13,19,63,97,0,59,55,11,28,58,50,41
65,65,2506,太設,建材營造,0,0,27,63,73,17,0,0,23,37,39,21,1,47,71,25,17,61,41,15,55,19,57,32,18,42,31
66,66,2509,全坤建,建材營造,5,3,17,65,79,33,39,17,19,15,37,73,37,45,69,37,15,85,0,13,61,25,49,40,27,38,40
67,67,2511,太子,建材營造,67,61,39,37,83,35,35,87,89,81,61,91,23,69,85,0,1,49,35,11,0,79,93,63,46,42,49
68,68,2515,中工,建材營造,27,31,19,73,63,31,33,49,45,11,1,59,43,71,37,9,13,69,21,9,9,37,13,34,36,31,33
69,69,2516,新建,建材營造,9,11,0,89,45,0,9,19,29,9,65,71,33,25,63,35,0,11,0,7,65,63,59,45,20,17,30
70,70,2520,冠德,建材營造,93,93,91,0,77,25,27,57,57,7,63,63,59,73,41,19,11,7,5,5,17,59,15,46,55,21,39
71,71,2524,京城,建材營造,89,91,79,5,69,23,23,5,33,5,3,17,7,75,75,55,9,41,17,3,41,31,65,32,52,33,41
72,72,2527,宏璟,建材營造,59,55,29,41,89,51,51,29,47,3,97,31,25,27,77,3,7,3,13,1,67,51,0,41,48,20,37
73,73,2528,皇普,建材營造,13,13,15,75,17,43,45,21,27,1,95,69,31,29,73,99,5,9,77,0,93,61,53,50,34,35,39
74,74,2530,華建,建材營造,39,41,73,7,89,55,55,85,97,85,93,99,95,91,89,61,3,87,59,0,0,83,95,75,45,64,63
75,75,2534,宏盛,建材營造,29,33,25,69,37,79,79,61,79,1,91,77,53,95,79,93,3,17,27,0,45,87,89,69,52,30,51
76,76,2535,達欣工,建材營造,75,77,81,1,31,0,13,39,99,1,89,53,61,99,99,91,41,89,29,43,0,97,99,71,41,47,56
