公司代號,公司名稱,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率
1533,車王電,664,549,568,462,23.88%,0,0.00%
1535,中宇,"1,243","1,090","1,112","1,010",8.30%,0,0.00%
1536,和大,786,635,631,603,9.09%,"1,124",1.16%
1537,廣隆,"1,282","1,121",837,670,23.53%,0,0.00%
1538,正峰,844,715,455,450,33.33%,0,0.00%
1539,巨庭,644,527,511,475,11.00%,0,0.00%
1540,喬福,689,566,579,555,0.00%,0,0.00%
1541,錩泰,564,472,453,395,24.44%,0,0.00%
1558,伸興,"1,102",923,838,784,45.00%,6,0.26%
1560,中砂,"1,057",890,837,768,6.58%,8,0.46%
1568,倉佑,720,594,600,547,25.00%,2,0.47%
1582,信錦,"1,235","1,074","1,009",869,16.00%,241,0.00%
1583,程泰,898,731,762,707,16.47%,0,0.00%
1587,吉茂,826,701,514,498,26.67%,0,0.00%
1589,永冠-KY,N/A,N/A,N/A,N/A,17.00%,90,3.93%
1590,亞德客-KY,N/A,N/A,N/A,N/A,9.31%,72,0.83%
1597,直得,906,769,659,628,31.43%,2,4.00%
1598,岱宇,665,559,565,492,30.30%,1,0.00%
1603,華電,717,616,564,479,28.09%,8,1.32%
1604,聲寶,987,828,825,737,8.82%,0,0.00%
1605,華新,"1,375","1,243","1,210",991,18.15%,26,0.87%
1608,華榮,796,649,704,685,16.39%,0,0.00%
1609,大亞,"1,099",953,813,772,19.60%,5,0.50%
1611,中電,767,614,464,464,0.00%,0,0.00%
1612,宏泰,"1,005",862,838,706,18.00%,1,0.30%
1614,三洋電,515,410,586,562,1.27%,8,0.73%
1615,大山,821,696,670,600,26.53%,2,0.79%
1616,億泰,793,664,636,589,14.29%,1,0.47%
1617,榮星,809,692,714,658,10.00%,0,0.00%
1618,合機,875,739,719,673,23.61%,9,4.21%
1626,艾美特-KY,N/A,N/A,N/A,N/A,28.00%,7,0.25%
1702,南僑,"2,766","2,516","1,007",734,36.80%,0,0.00%
1707,葡萄王,"1,107",986,864,782,43.24%,3,0.59%
1708,東鹼,"1,546","1,365","1,297","1,052",38.46%,0,0.00%
1709,和益,"2,119","1,884","1,663","1,495",13.00%,0,0.00%
1710,東聯,"1,252",939,"1,009",928,1.37%,0,0.00%
1711,永光,888,741,786,743,15.90%,1,0.05%
1712,興農,912,778,775,679,16.89%,2,0.15%
1713,國化,"1,121",986,794,753,23.08%,0,0.00%
1714,和桐,"1,054",893,722,601,42.86%,0,0.00%
1717,長興,"1,221",996,955,816,15.40%,3,0.06%
1718,中纖,830,672,664,597,22.06%,3,0.50%
1720,生達,896,775,817,703,43.50%,9,1.13%
1721,三晃,895,740,753,733,30.38%,5,0.95%
1722,台肥,"1,664","1,442","1,387","1,232",12.04%,3,0.47%
1723,中碳,"1,847","1,618","1,453","1,372",10.26%,0,0.00%
1725,元禎,906,720,702,609,12.50%,0,0.00%
1726,永記,920,791,775,704,7.00%,10,1.37%
1727,中華化,772,633,626,598,19.35%,9,3.45%
1730,花仙子,"1,353","1,153",890,708,50.00%,0,0.00%
1731,美吾華,908,777,664,585,42.11%,2,1.07%
1732,毛寶,624,524,538,456,50.00%,2,1.24%
1733,五鼎,740,622,651,566,41.70%,11,1.38%
1734,杏輝,774,646,617,533,41.53%,3,0.39%
1735,日勝化,954,804,753,661,4.76%,2,0.94%
1736,喬山,872,738,707,592,21.67%,3,0.51%
1737,臺鹽,"1,159",981,985,895,29.06%,0,0.00%
1752,南光,687,575,565,494,23.33%,13,2.06%
1760,寶齡富錦,"1,113",954,838,624,44.10%,5,0.93%
1762,中化生,"1,216","1,042",967,885,19.00%,0,0.00%
1773,勝一,"1,331","1,164","1,071",924,9.30%,4,0.90%
1776,展宇,837,691,636,493,25.00%,2,1.64%
1783,和康生,"1,085",923,677,538,57.14%,0,0.00%
1786,科妍,"1,027",868,659,594,27.00%,0,0.00%
1789,神隆,"1,068",906,813,744,34.04%,15,2.24%
1795,美時,"1,339","1,113","1,096",774,34.00%,1,0.16%
1802,台玻,776,652,677,631,13.20%,80,2.01%
1805,寶徠,"1,331","1,158",715,659,25.00%,0,0.00%
1806,冠軍,749,605,672,595,23.53%,10,1.43%
1808,潤隆,994,768,664,595,27.58%,2,2.04%
1809,中釉,877,749,749,392,15.00%,1,0.49%
1810,和成,734,625,618,535,9.26%,1,0.12%
1817,凱撒衛,935,788,765,621,25.00%,0,0.00%
1903,士紙,829,678,563,529,22.58%,0,0.00%
1904,正隆,"1,085",934,918,850,4.31%,10,0.27%
1905,華紙,940,785,735,678,9.32%,1,0.03%
1906,寶隆,"1,587","1,258",808,875,14.29%,0,0.00%
1907,永豐餘,"2,606","2,420",783,691,18.00%,39,0.44%
1909,榮成,935,799,766,731,5.00%,1,0.09%
2002,中鋼,"1,941","1,664","1,595","1,495",2.35%,1,0.01%
2006,東和鋼鐵,"1,210","1,061","1,088","1,031",8.80%,12,0.62%
2007,燁興,853,617,652,615,5.90%,2,0.45%
2008,高興昌,737,591,549,510,10.00%,1,0.46%
2009,第一銅,667,533,550,531,3.57%,9,3.63%
2010,春源,796,640,702,612,7.91%,22,1.97%
2012,春雨,777,671,768,613,19.35%,4,0.71%
2013,中鋼構,"1,878","1,637","1,599","1,410",3.00%,0,0.00%
2014,中鴻,"1,127",833,823,795,3.47%,1,0.09%
2015,豐興,"1,273","1,085","1,063",965,25.00%,6,0.63%
2017,官田鋼,627,512,534,469,27.45%,14,4.84%
2020,美亞,849,631,706,638,18.80%,5,1.50%
2022,聚亨,741,631,594,536,10.90%,0,0.00%
2023,燁輝,"1,141",867,942,920,3.50%,2,0.00%
2024,志聯,740,592,569,518,28.10%,2,1.20%
2025,千興,640,513,518,509,25.00%,0,0.00%
2027,大成鋼,"1,848","1,717","1,698","1,458",21.74%,1,0.10%
2028,威致,938,698,773,700,40.00%,9,2.37%
2029,盛餘,"1,209",999,"1,047",975,7.45%,1,0.19%
2030,彰源,828,700,655,569,0.00%,4,0.64%
2031,新光鋼,"1,004",822,785,711,34.78%,3,1.09%
2032,新鋼,630,494,514,497,11.54%,6,3.20%
2033,佳大,707,569,517,505,25.00%,0,0.00%
2034,允強,876,717,685,591,17.00%,5,0.62%
2038,海光,798,686,659,593,1.11%,2,0.48%
2049,上銀,"1,038",885,940,903,13.34%,41,0.87%
2059,川湖,937,809,869,703,26.31%,0,0.00%
2062,橋椿,714,585,537,465,47.45%,25,2.60%
2069,運錩,734,578,583,512,51.85%,3,0.14%
2101,南港,821,699,705,614,0.27%,20,1.90%
2102,泰豐,770,618,619,599,9.09%,2,0.40%
2103,台橡,"1,559","1,124","1,204","1,091",26.40%,6,0.37%
2104,國際中橡,"1,754","1,391","1,420","1,268",33.30%,2,0.82%
2105,正新,849,729,696,658,0.40%,7,0.14%
2106,建大,772,659,638,589,13.98%,11,0.58%
2107,厚生,895,782,662,612,1.59%,3,1.60%
2108,南帝,"1,483","1,259","1,832","1,746",0.00%,0,0.00%
2109,華豐,695,595,581,527,17.00%,11,1.68%
2114,鑫永銓,750,637,534,525,28.00%,0,0.00%
2115,六暉-KY,N/A,N/A,N/A,N/A,55.00%,0,0.00%
2201,裕隆,"1,126",954,863,812,8.54%,1,0.09%
2204,中華,"1,250","1,083","1,111",994,12.35%,5,0.26%
2206,三陽工業,"1,207","1,032","1,014",998,7.91%,1,0.04%
2207,和泰車,"2,764","2,380","2,080","1,737",23.00%,0,0.00%
2208,台船,"1,134",948,939,897,6.00%,3,0.10%
2211,長榮鋼,"1,145",953,993,951,21.00%,4,0.70%
2227,裕日車,"1,552","1,276","1,182","1,117",15.00%,0,0.00%
2228,劍麟,800,686,630,534,10.81%,1,0.23%
2231,為升,922,811,638,549,27.03%,1,0.26%
2233,宇隆,926,804,833,711,27.27%,1,0.20%
2236,百達-KY,N/A,N/A,N/A,N/A,18.60%,0,0.00%
2239,英利-KY,N/A,N/A,N/A,N/A,0.00%,0,0.00%
2241,艾姆勒,856,700,649,577,15.15%,12,2.65%
2243,宏旭-KY,N/A,N/A,N/A,N/A,4.26%,0,0.00%
2247,汎德永業,"1,133",952,"1,035",815,8.70%,11,0.65%
2250,IKKA-KY,N/A,N/A,N/A,N/A,37.00%,0,0.00%
2301,光寶科,"1,662","1,488","1,472","1,129",23.24%,40,0.13%
2302,麗正,733,609,613,497,5.00%,0,0.00%
2303,聯電,"2,525","2,334","2,080","1,656",22.10%,13,0.09%
2305,全友,961,815,717,710,25.00%,0,0.00%
2308,台達電,"1,831","1,625","1,701","1,422",32.00%,236,0.28%
2312,金寶,"2,013","1,765","1,411","1,219",26.83%,1,0.22%
2313,華通,"1,068",907,"1,004",894,15.00%,60,1.20%
2314,台揚,"1,002",852,834,656,14.29%,3,0.50%
2316,楠梓電,615,503,534,491,40.00%,9,0.68%
2317,鴻海,"2,972","2,501","2,538","1,768",21.23%,241,0.03%
2321,東訊,"1,004",832,787,663,11.90%,2,1.20%
2323,中環,737,630,597,576,26.00%,12,1.72%
2324,仁寶,"1,491","1,290","1,352","1,180",11.99%,87,0.90%
2327,國巨,876,772,740,642,34.00%,8,0.20%
2328,廣宇,"2,127","1,811","1,370","1,264",27.27%,0,0.00%
2329,華泰,791,652,702,620,45.00%,7,0.14%
2330,台積電,"3,446","3,175","3,167","2,435",13.30%,35,0.05%
2331,精英,"1,639","1,442","1,271","1,044",31.88%,9,1.38%
2332,友訊,"1,274","1,083","1,078",974,55.56%,0,0.00%
2337,旺宏,"2,041","1,813","1,729","1,281",28.00%,2,0.05%
2338,光罩,"1,234","1,042","1,111",936,3.49%,4,1.07%
2340,台亞,"1,079",941,806,693,26.00%,0,0.00%
2342,茂矽,"1,096",925,963,858,25.90%,11,0.16%
2344,華邦電,"2,451","2,254","1,926","1,580",1.33%,3,0.08%
2345,智邦,"1,456","1,289","1,324",934,25.20%,12,0.37%
2347,聯強,"1,468","1,272","1,228","1,049",44.35%,1,0.14%
2348,海悅,"1,510","1,309","1,109",955,30.77%,0,0.00%
2349,錸德,727,630,670,578,2.61%,0,0.00%
2351,順德,883,738,726,601,10.39%,4,0.26%
2352,佳世達,"2,236","1,953","1,696","1,290",15.30%,0,0.00%
2353,宏碁,"2,039","1,756","1,772","1,442",31.32%,14,0.00%
2354,鴻準,"2,320","1,941","2,498","1,634",0.00%,0,0.00%
2355,敬鵬,825,706,710,640,26.00%,29,1.00%
2356,英業達,"1,320","1,155","1,121",939,13.58%,41,0.21%
2357,華碩,"1,676","1,476","1,617","1,310",22.72%,1,0.01%
2359,所羅門,"1,097",934,919,779,0.06%,7,2.30%
2360,致茂,"1,548","1,355","1,401","1,144",14.04%,1,0.00%
2362,藍天,"1,327","1,119","1,204","1,078",26.00%,1,0.00%
2363,矽統,"1,673","1,502","1,308","1,210",22.00%,0,0.00%
2364,倫飛,"1,079",929,737,643,29.27%,0,0.00%
2365,昆盈,"1,206",957,847,719,35.71%,0,0.00%
2367,燿華,791,672,673,605,13.95%,2,0.04%
2368,金像電,"1,115",959,887,721,19.93%,47,0.72%
2369,菱生,662,536,591,507,17.05%,0,0.00%
2371,大同,904,775,763,680,20.66%,8,0.32%
2373,震旦行,835,591,736,640,15.00%,0,0.00%
2374,佳能,"1,298","1,110","1,251","1,080",23.00%,0,0.00%
2375,凱美,"2,097","1,889",774,800,30.00%,0,0.00%
2376,技嘉,"1,306","1,058","1,409",953,27.25%,6,0.08%
2377,微星,"1,794","1,587","1,712","1,478",24.78%,0,0.00%
2379,瑞昱,"4,910","4,617","3,839","3,069",9.20%,0,0.00%
2380,虹光,"1,066",863,873,771,17.31%,1,0.25%
2382,廣達,"1,791","1,556","1,501","1,217",21.29%,109,0.94%
2383,台光電,"1,317","1,148","1,054",786,12.03%,22,0.59%
2385,群光,"2,757","2,499","1,958","1,676",14.57%,31,0.00%
2387,精元,"1,128",985,740,655,7.83%,0,0.00%
2388,威盛,"1,915","1,672","1,632","1,443",20.96%,3,0.80%
2390,云辰,"1,038",857,725,697,20.00%,0,0.00%
2392,正崴,"1,723","1,527","1,082",956,31.20%,66,0.23%
2393,億光,906,759,796,603,20.28%,9,0.66%
2395,研華,"1,496","1,302","1,192","1,001",21.00%,4,0.13%
2397,友通,"1,034",892,905,711,22.73%,3,0.47%
2399,映泰,"1,122",928,824,728,35.90%,0,0.00%
2401,凌陽,"1,770","1,539","1,592","1,358",26.14%,0,0.00%
2402,毅嘉,844,719,538,439,23.00%,5,2.33%
2404,漢唐,"1,723","1,557","1,506","1,277",14.29%,5,0.55%
2405,輔信,"1,198","1,022",976,828,22.92%,0,0.00%
2406,國碩,880,737,713,650,26.00%,3,1.95%
2408,南亞科,"1,748","1,575","1,581","1,350",34.44%,0,0.00%
2409,友達,"1,278","1,067","1,044",791,28.20%,2,0.01%
2412,中華電,"1,724",913,"1,548","1,510",21.51%,36,0.18%
2413,環科,681,585,558,497,20.00%,4,0.51%
2414,精技,"1,141",979,896,809,21.31%,1,0.26%
2415,錩新,"1,445","1,191","1,005",904,60.00%,0,0.00%
2417,圓剛,"1,361","1,185","1,115","1,085",19.50%,0,0.00%
2419,仲琦,"1,826","1,614","1,571","1,395",23.00%,0,0.00%
2420,新巨,823,714,593,476,32.00%,0,0.00%
2421,建準,"1,227","1,023","1,026",843,46.00%,0,0.00%
2423,固緯,"1,232","1,067",973,876,20.28%,0,0.00%
2424,隴華,861,735,691,642,25.00%,0,0.00%
2425,承啟,"1,669","1,378",658,720,44.00%,0,0.00%
2426,鼎元,692,550,562,497,24.56%,7,0.96%
2427,三商電,989,851,765,710,17.00%,0,0.00%
2428,興勤,972,822,758,560,47.00%,0,0.00%
2429,銘旺科,608,496,458,321,7.14%,0,0.00%
2430,燦坤,618,493,675,628,10.00%,36,1.51%
2431,聯昌,"1,206","1,010",920,764,0.00%,0,0.00%
2432,倚天酷碁-創,N/A,N/A,N/A,N/A,20.00%,1,0.02%
2433,互盛電,823,609,726,649,4.00%,0,0.00%
2434,統懋,693,568,557,492,3.85%,0,0.00%
2436,偉詮電,"1,448","1,246","1,151","1,071",14.78%,1,0.30%
2438,翔耀,633,512,522,461,60.00%,0,0.00%
2439,美律,"1,322","1,051",985,765,34.73%,11,0.01%
2440,太空梭,"1,162",964,783,737,25.00%,0,0.00%
2441,超豐,895,750,783,630,42.66%,4,0.10%
2442,新美齊,"1,854","1,087","1,079",879,21.43%,0,0.00%
2444,兆勁,699,575,524,469,0.02%,4,0.80%
2449,京元電子,942,809,863,711,33.09%,16,0.16%
2450,神腦,772,626,622,584,35.20%,1,0.05%
2451,創見,902,758,748,601,15.20%,0,0.00%
2453,凌群,"1,262","1,080",938,827,22.00%,7,0.59%
2454,聯發科,"5,337","4,992","4,867","3,747",5.60%,0,0.00%
2455,全新,"1,211","1,023",897,700,14.81%,1,0.33%
2457,飛宏,"1,210","1,015",919,794,32.22%,7,0.15%
2458,義隆,"2,000","1,746","1,745","1,572",15.59%,0,0.00%
2459,敦吉,"1,360","1,217","1,032",920,0.00%,0,0.00%
2460,建通,707,575,595,530,9.23%,0,0.00%
2461,光群雷,"1,047",915,768,672,28.13%,4,2.68%
2462,良得電,"1,283","1,073",990,876,10.40%,48,0.00%
2464,盟立,"1,196","1,017","1,083",893,9.80%,1,0.08%
2465,麗臺,"1,014",855,857,718,31.82%,1,0.31%
2466,冠西電,828,712,608,446,24.00%,2,1.27%
2467,志聖,"1,278","1,106","1,189",993,11.96%,4,1.04%
2468,華經,955,802,697,615,30.00%,5,1.36%
2471,資通,"1,516","1,323","1,203","1,079",21.43%,0,0.00%
2472,立隆電,"1,850","1,642","1,312","1,278",37.80%,0,0.00%
2474,可成,739,620,687,579,28.57%,7,0.18%
2476,鉅祥,792,688,716,631,30.20%,1,0.15%
2477,美隆電,702,607,656,528,5.78%,3,1.32%
2478,大毅,951,837,684,571,28.42%,6,0.70%
2480,敦陽科,"1,336","1,174","1,050",962,26.81%,3,0.52%
2481,強茂,921,774,770,555,41.38%,17,1.14%
2482,連宇,"1,067",920,760,620,30.00%,0,0.00%
2483,百容,657,560,535,469,11.00%,17,2.65%
2484,希華,836,709,702,604,31.00%,0,0.00%
2485,兆赫,653,540,562,422,34.98%,13,1.24%
2486,一詮,729,604,603,546,13.00%,9,1.11%
2488,漢平,"1,177","1,019",794,662,33.00%,1,0.68%
2489,瑞軒,"1,572","1,359","1,035",927,40.24%,3,0.14%
2491,吉祥全,904,777,553,505,19.00%,0,0.00%
2492,華新科,740,603,580,486,30.50%,5,0.18%
2493,揚博,"1,303","1,141","1,077",882,25.00%,0,0.00%
2495,普安,"1,078",935,931,759,15.00%,0,0.00%
2496,卓越,"1,386","1,112",659,682,100.00%,0,0.00%
2497,怡利電,836,720,641,575,1.06%,0,0.00%
2498,宏達電,"1,174",963,"1,139",897,25.48%,1,0.04%
2501,國建,"1,441","1,275",987,879,31.03%,2,1.25%
2504,國產,"1,577","1,450","1,033","1,018",16.67%,5,0.79%
2505,國揚,"1,505","1,292","1,256","1,170",42.86%,0,0.00%
2506,太設,643,550,"1,042",836,0.00%,0,0.00%
2509,全坤建,976,813,802,745,66.67%,0,0.00%
2511,太子,"1,801","1,574","1,082","1,048",35.70%,0,0.00%
2514,龍邦,"1,164","1,000",778,698,50.00%,0,0.00%
2515,中工,"1,124",972,748,670,20.00%,5,0.50%
2516,新建,839,724,616,483,11.00%,4,0.46%
2520,冠德,"2,018","1,777","1,273","1,081",36.00%,0,0.00%
2524,京城,"1,589","1,341",980,937,28.57%,0,0.00%
2527,宏璟,"1,507","1,280",830,852,39.00%,0,0.00%
2528,皇普,"1,000",858,728,610,44.44%,0,0.00%
2530,華建,"1,667","1,465","1,104",896,40.00%,0,0.00%
2534,宏盛,"1,275","1,091",972,836,8.24%,0,0.00%
2535,達欣工,"1,441","1,245","1,119","1,093",10.73%,0,0.00%
2536,宏普,"1,176",998,841,857,25.00%,0,0.00%
2537,聯上發,"1,133",945,888,791,55.56%,0,0.00%
2538,基泰,"2,989","1,619","1,029",842,0.00%,0,0.00%
2539,櫻花建,"1,126",941,891,756,20.00%,1,1.35%
2540,愛山林,"3,127","2,852","2,036","1,357",10.00%,0,0.00%
2542,興富發,"1,538","1,403",775,624,40.00%,0,0.00%
2543,皇昌,859,687,720,564,12.79%,9,0.90%
2545,皇翔,"1,501","1,274","1,165",970,17.54%,0,0.00%
2546,根基,"1,075",939,978,916,11.00%,10,1.10%
2547,日勝生,"1,477","1,244",941,862,39.24%,1,0.48%
2548,華固,"3,157","2,805","1,647","1,566",18.00%,0,0.00%
2597,潤弘,"1,492","1,297","1,160",959,7.03%,0,0.00%
2601,益航,"1,519","1,308","1,097","1,009",46.67%,0,0.00%
2603,長榮,"4,888","4,553","4,575","4,213",17.13%,9,0.29%
2605,新興,"2,175","1,931","1,375","1,380",28.57%,0,0.00%
2606,裕民,"2,094","1,638","1,574","1,359",26.70%,0,0.00%
2607,榮運,"1,164",984,971,941,25.00%,10,0.97%
2608,嘉里大榮,816,667,690,667,12.38%,60,1.38%
2609,陽明,"3,833","3,216","2,957","2,585",28.93%,1,0.05%
2610,華航,"1,897","1,343","1,638","1,159",28.74%,37,0.38%
2611,志信,758,609,567,567,16.00%,0,0.00%
2612,中航,"1,695","1,479","1,307","1,000",32.30%,1,0.30%
2613,中櫃,773,635,634,614,0.00%,6,0.82%
2614,東森,"1,407","1,230",986,914,47.22%,0,0.00%
2615,萬海,"3,329","3,025","2,442","2,242",37.38%,19,0.38%
2616,山隆,707,601,771,632,3.29%,0,0.00%
2617,台航,"1,577","1,350","1,388","1,058",21.00%,0,0.00%
2618,長榮航,"1,637","1,278","1,417",791,31.90%,131,1.39%
2630,亞航,764,626,649,600,6.27%,9,0.79%
2633,台灣高鐵,"1,111",938,948,860,18.82%,13,0.27%
2634,漢翔,"1,253","1,066","1,024",848,19.60%,42,0.61%
2636,台驊控股,"2,622","2,378",787,493,9.44%,0,0.00%
2637,慧洋-KY,N/A,N/A,N/A,N/A,53.00%,0,0.00%
2642,宅配通,673,553,603,573,23.37%,43,1.98%
2645,長榮航太,"1,270","1,052","1,039",975,6.92%,16,0.58%
2701,萬企,618,487,486,452,50.00%,0,0.00%
2702,華園,587,496,578,468,50.00%,0,0.00%
2704,國賓,"1,381","1,237",586,468,37.55%,10,1.43%
