公司代號,公司名稱,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率
1101,台泥,"1,189",991,"1,030",922,27.00%,5,0.43%
1102,亞泥,"1,326","1,184","1,056",930,22.31%,0,0.00%
1103,嘉泥,"1,188",947,873,805,13.50%,0,0.00%
1104,環泥,899,840,796,724,7.00%,1,0.20%
1108,幸福,736,610,580,521,28.57%,2,0.44%
1109,信大,752,617,642,607,16.00%,1,0.00%
1110,東泥,831,665,630,607,18.18%,1,0.96%
1201,味全,887,744,734,675,28.38%,9,0.63%
1203,味王,677,590,609,579,9.70%,10,1.40%
1210,大成,809,681,710,600,19.00%,21,0.92%
1213,大飲,492,412,404,384,25.00%,0,0.00%
1215,卜蜂,899,773,665,508,30.82%,28,1.26%
1216,統一,"1,371","1,209","1,183","1,012",29.07%,1,0.02%
1217,愛之味,793,660,688,590,34.09%,4,0.71%
1218,泰山,"1,387","1,241","1,049",853,25.21%,3,0.43%
1219,福壽,831,689,682,625,12.80%,3,0.50%
1220,台榮,658,541,571,537,13.79%,2,1.00%
1225,福懋油,890,746,695,621,10.00%,0,0.00%
1227,佳格,"1,078",888,856,767,39.00%,12,0.90%
1229,聯華,"3,098","2,800",749,680,25.00%,0,0.00%
1231,聯華食,831,695,686,582,39.00%,19,0.82%
1232,大統益,"1,982","1,742","1,585","1,362",26.09%,0,0.00%
1233,天仁,501,417,544,487,50.00%,5,0.36%
1234,黑松,953,790,816,733,15.12%,0,0.00%
1235,興泰,526,444,421,440,33.33%,0,0.00%
1236,宏亞,613,505,500,440,46.00%,6,0.79%
1256,鮮活果汁-KY,N/A,N/A,N/A,N/A,36.11%,29,2.99%
1301,台塑,"1,621","1,434","1,398","1,270",7.30%,2,0.18%
1303,南亞,"1,233","1,080","1,238","1,161",4.85%,5,0.04%
1304,台聚,"1,674","1,411","1,513","1,376",0.66%,0,0.00%
1305,華夏,"1,102",919,942,904,6.33%,3,0.44%
1307,三芳,990,852,731,694,6.40%,11,3.30%
1308,亞聚,"1,654","1,411","1,490","1,407",2.70%,0,0.00%
1309,台達化,"1,291","1,084","1,100","1,039",15.38%,0,0.00%
1310,台苯,"1,185",930,883,793,22.58%,0,0.00%
1312,國喬,"1,022",847,878,774,27.27%,2,0.53%
1313,聯成,"1,554","1,310","1,165","1,072",30.60%,0,0.00%
1314,中石化,978,817,953,869,14.00%,0,0.00%
1315,達新,761,643,604,535,44.52%,0,0.00%
1316,上曜,"1,519","1,385",640,511,23.81%,0,0.00%
1319,東陽,745,626,684,582,13.60%,0,0.00%
1321,大洋,902,745,800,738,8.16%,5,1.10%
1323,永裕,701,592,596,508,26.84%,4,0.56%
1324,地球,713,595,536,446,32.25%,0,0.00%
1325,恆大,566,457,470,405,66.67%,0,0.00%
1326,台化,"1,645","1,427","1,409","1,283",4.63%,3,0.06%
1337,再生-KY,N/A,N/A,N/A,N/A,14.29%,0,0.00%
1338,廣華-KY,N/A,N/A,N/A,N/A,17.70%,0,0.00%
1339,昭輝,772,638,648,495,21.43%,1,0.36%
1340,勝悅-KY,N/A,N/A,N/A,N/A,0.00%,0,0.00%
1341,富林-KY,N/A,N/A,N/A,N/A,23.53%,7,0.74%
1342,八貫,905,806,669,538,40.00%,6,1.60%
1402,遠東新,"1,315","1,130","1,011",864,30.00%,77,0.35%
1409,新纖,890,755,744,618,10.43%,5,0.25%
1410,南染,671,572,526,528,33.00%,0,0.00%
1413,宏洲,789,665,678,607,23.00%,1,0.45%
1414,東和,640,523,575,529,16.67%,1,0.44%
1416,廣豐,"1,583","1,392",803,940,33.33%,0,0.00%
1417,嘉裕,694,577,525,473,48.00%,5,1.50%
1418,東華,"1,071",931,594,515,16.67%,0,0.00%
1419,新紡,890,760,721,610,50.00%,2,0.36%
1423,利華,715,599,520,481,33.33%,2,3.64%
1432,大魯閣,477,385,516,425,33.30%,1,0.00%
1434,福懋,616,519,590,523,5.00%,9,0.28%
1435,中福,"1,593","1,493",849,740,0.00%,0,0.00%
1436,華友聯,"1,256","1,066",871,819,41.18%,0,0.00%
1437,勤益控,"2,806","2,546",614,412,67.00%,0,0.00%
1438,三地開發,"1,340","1,184",523,521,25.00%,0,0.00%
1439,雋揚,957,774,711,700,60.00%,0,0.00%
1440,南紡,795,670,621,546,10.33%,6,0.60%
1441,大東,"1,060",886,661,633,13.60%,0,0.00%
1442,名軒,"1,205",998,874,819,60.00%,0,0.00%
1443,立益物流,824,699,637,623,36.00%,0,0.00%
1444,力麗,689,552,595,519,24.07%,1,0.06%
1445,大宇,692,586,600,515,13.00%,0,0.00%
1446,宏和,764,645,608,504,14.29%,0,0.00%
1447,力鵬,759,606,607,538,20.00%,1,0.08%
1449,佳和,587,489,515,462,25.27%,2,0.24%
1451,年興,788,667,594,535,11.11%,2,0.28%
1452,宏益,799,659,601,511,35.00%,7,3.06%
1453,大將,730,589,530,481,40.00%,0,0.00%
1454,台富,702,582,554,509,28.57%,1,0.00%
1455,集盛,769,652,651,569,14.29%,1,0.08%
1456,怡華,936,803,558,547,17.00%,0,0.00%
1457,宜進,"1,214","1,035",798,715,53.00%,0,0.00%
1459,聯發,645,531,487,432,16.67%,0,0.00%
1460,宏遠,720,583,550,509,3.89%,19,0.35%
1463,強盛新,667,574,550,520,28.57%,0,0.00%
1464,得力,709,613,589,549,30.91%,16,1.85%
1465,偉全,696,588,581,492,25.00%,0,0.00%
1466,聚隆,722,593,604,551,35.00%,6,1.10%
1467,南緯,945,802,708,603,54.00%,2,1.00%
1468,昶和,724,593,544,470,20.00%,0,0.00%
1470,大統新創,686,588,553,471,34.00%,0,0.00%
1471,首利,"1,127",965,764,756,27.00%,0,0.00%
1472,三洋實業,932,756,600,527,25.00%,0,0.00%
1473,台南,809,701,558,463,80.76%,1,0.26%
1474,弘裕,727,625,598,520,19.48%,14,2.81%
1475,業旺,"1,046",861,545,545,10.00%,0,0.00%
1476,儒鴻,"1,223","1,076","1,000",880,35.30%,1,0.06%
1477,聚陽,"2,529","2,344","1,447","1,321",54.00%,4,0.50%
1503,士電,"1,217","1,074","1,049",854,9.00%,0,0.00%
1504,東元,"1,095",944,893,715,22.10%,2,0.04%
1506,正道,843,712,550,518,27.85%,3,1.40%
1512,瑞利,673,546,548,500,13.33%,0,0.00%
1513,中興電,"1,045",889,870,769,17.37%,2,0.10%
1514,亞力,"1,112",956,898,775,0.00%,0,0.00%
1515,力山,583,487,575,481,16.98%,6,0.83%
1516,川飛,"1,235","1,064",648,666,0.00%,0,0.00%
1517,利奇,571,471,492,444,8.33%,5,0.74%
1519,華城,"1,205","1,047","1,016",816,13.64%,7,0.90%
1521,大億,732,611,633,577,12.20%,0,0.00%
1522,堤維西,733,605,614,568,21.00%,12,0.75%
1524,耿鼎,757,631,615,528,8.16%,3,0.66%
1525,江申,751,629,637,559,13.46%,0,0.00%
1526,日馳,903,787,644,500,20.00%,0,0.00%
1527,鑽全,732,632,580,494,9.52%,4,1.69%
1528,恩德,"1,079",949,674,602,3.68%,0,0.00%
1529,樂事綠能,713,581,546,505,55.56%,0,0.00%
1530,亞崴,832,704,634,575,11.18%,1,0.24%
1531,高林股,907,773,776,697,19.56%,0,0.00%
1532,勤美,918,779,695,563,37.50%,2,0.61%
