公司代號,公司名稱,使用率(再生能源/總能源),資料範圍,取得驗證
1101,台泥,0.01%,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、24座製品廠、子公司和平電力),ISO 50001
1102,亞泥,0.00%,亞洲水泥個體公司,ISO 50001
1103,嘉泥,0.00%,嘉泥台灣個體公司,ISO 50001
1104,環泥,0.00%,母公司,N
1108,幸福,N/A,N/A,N
1109,信大,N/A,N/A,N
1110,東泥,5.21%,僅母公司,N
1201,味全,N/A,N/A,ISO 50001
1203,味王,N/A,N/A,N
1210,大成,N/A,N/A,N
1213,大飲,N/A,N/A,N
1215,卜蜂,0.02%,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,N
1216,統一,0.03%,僅母公司,N
1217,愛之味,N/A,N/A,N
1218,泰山,62.39%,計算方式如下表有經過驗算查證。,N
1219,福壽,N/A,N/A,ISO 50001
1220,台榮,N/A,N/A,N
1225,福懋油,0.00%,母公司,N
1227,佳格,N/A,N/A,N
1229,聯華,N/A,N/A,N
1231,聯華食,N/A,N/A,ISO 50001
1232,大統益,N/A,N/A,ISO 50001
1233,天仁,N/A,N/A,N
1234,黑松,0.56%,總公司、中壢廠、斗六廠,ISO 50001
1235,興泰,N/A,N/A,N
1236,宏亞,26.00%,母公司,N
1256,鮮活果汁-KY,N/A,N/A,N
1301,台塑,0.00%,母公司,N
1303,南亞,0.00%,"母公司，本公司2022年取得18張綠能憑證(依國家再生能源憑證中心網站)，另已規劃分二階段於各廠區廠房屋頂建置太陽能發電設備，預計設置總容量約58,365KW(含必成公司)，預估占119年台電契約容量18.2%(高於政府用電大戶條款規定的10%)，其中，ヾ硬布一廠195KW於2022年7月設備登記核准，已取得再生能源憑證ゝ配電盤廠1,500KW投資新台幣0.7億元，並於2022年12月設備登記核准，已取得再生能源憑證。",1.ISO 50001能源管理系統:樹林、林口、嘉義、新港、仁武、林園等廠區中共14生產廠。 2.綠色工廠: 樹林二廠、新港CCL一、三廠。 3.綠建築:銅箔四廠(銀級)；及樹林、新港等3個生產廠。
1304,台聚,0.00%,台聚高雄廠,ISO 50001
1305,華夏,N/A,N/A,ISO 50001
1307,三芳,59.42%,合併財務報表之母子公司),N
1308,亞聚,0.00%,亞聚林園廠,ISO 50001
1309,台達化,N/A,N/A,ISO 50001
1310,台苯,N/A,N/A,N
1312,國喬,0.00%,僅母公司,N
1313,聯成,N/A,N/A,ISO 50001
1314,中石化,0.03%,母公司,採用ISO 50001驗證標準，本公司頭份廠、大社廠、小港廠已取得，斗六廠、橋頭廠尚未取得
1315,達新,7.52%,母公司,N
1316,上曜,N/A,N/A,N
1319,東陽,N/A,N/A,N
1321,大洋,N/A,N/A,N
