,公司名稱,毛利率2023年度成長率(%),營益率2023年度成長率(%),淨利率2023年度成長率(%)
850,惠特,-0.934,-1.7,-1.41
851,嘉基,-0.221,-0.315,-0.304
852,力智,-0.665,-1.02,-0.956
853,澤米,-0.773,-1.01,-0.891
854,安普新,0.0637,0.857,-1.09
855,龍德造船,0.608,0.687,1
856,匯僑設計,0.0047,-0.114,-0.188
857,威鋒電子,-0.398,-0.78,-0.75
858,台灣虎航-創,2.45,1.84,1.64
859,志強-KY,-0.448,-0.787,-0.699
860,力積電,-0.851,-1.12,-1.08
861,平和環保-創,-0.0247,-0.0461,-0.0851
862,展碁國際,-0.09,-0.0556,-0.0057
863,AES-KY,-0.323,-0.445,-0.388
864,視陽,-0.305,-0.532,-0.512
865,采鈺,-0.635,-0.866,-0.798
866,永豐實,0.186,0.261,0.417
867,詠業,-0.158,-0.195,-0.274
868,向榮生技-創,1.18,-0.0453,0.0773
869,晉弘,0.21,0.542,0.0576
870,來頡,-0.171,-0.255,-0.262
871,富世達,0.13,0.137,0.113
872,森崴能源,1.13,2.13,1.83
873,峰源-KY,0.0122,1.88,0.416
874,汎銓,0.003,-0.0877,-0.0928
875,天二科技,-0.902,-3.89,-1.92
876,圓裕,0.0739,0.207,-0.0444
877,台新藥,81.12,0.258,0.208
878,錼創科技-KY創,3.66,0.271,0.0915
879,睿生光電,-0.138,-0.639,-0.413
880,永道-KY,0.174,0.211,0.323
881,雲豹能源,-0.0262,-0.0505,1.23
882,泓德能源-創,0.265,0.173,0.254
883,來億-KY,-0.337,-0.546,-0.45
884,鑽石投資,-3.4,-3.96,-4.24
885,走著瞧-創,0.961,1.26,1.09
886,現觀科,0.196,0.514,-0.0539
887,阜爾運通,0.554,0.645,0.649
888,華凌,-0.294,-0.64,-0.721
889,攸泰科技,0.301,0.625,0.245
890,AMAX-KY,0.184,0.17,0.374
891,天虹,0.0368,0.119,-0.0322
892,沛爾生醫-創,-1.32,-0.742,-0.733
893,青新-創,0.192,0.162,0.206
894,大武山,-0.122,-0.252,-0.549
895,裕慶-KY,0.208,0.775,0.682
896,日盛台駿,0.552,-0.288,-0.153
897,台通,7.05,1.27,1.06
898,矽創,-0.308,-0.472,-0.485
899,尖點,-0.419,-0.838,-1.11
900,昇陽半導體,-0.0905,-0.255,-0.0408
901,雷虎,-0.0537,-5.41,-3.96
902,台虹,-0.138,-0.248,-0.396
903,南電,-0.684,-0.731,-0.7
904,長華*,-0.394,-0.509,-0.317
905,陞泰,-0.071,-0.554,-0.38
906,致新,-0.156,-0.25,-0.228
907,瀚荃,-0.0888,-0.2,-0.343
908,錸寶,-0.251,-1.66,-8.58
