,公司名稱,毛利率2023年度成長率(%),營益率2023年度成長率(%),淨利率2023年度成長率(%)
335,仲琦,-0.252,-0.676,-0.99
336,新巨,-0.187,-0.233,-0.199
337,建準,0.136,0.364,0.225
338,固緯,0.0775,0.211,0.0608
339,隴華,0.173,-0.141,-0.144
340,承啟,0.0957,-0.283,-0.495
341,鼎元,-0.399,-4.83,0.273
342,三商電,0.122,0.266,0.311
343,興勤,0.0419,0.137,-0.0481
344,銘旺科,-0.585,-0.965,0.511
345,燦坤,-0.135,-0.514,-0.53
346,聯昌,-1.43,-0.424,-10.03
347,倚天酷碁-創,0.253,0.15,-0.0906
348,互盛電,-0.0391,-0.0693,-0.126
349,統懋,1.38,0.316,-0.0387
350,偉詮電,-0.0733,-0.828,0.426
351,翔耀,-1.69,-1.17,-1.57
352,美律,0.0416,0.0604,-0.0928
353,太空梭,-0.631,-3.38,-4.88
354,超豐,-0.331,-0.373,-0.368
355,新美齊,3.35,38,2.02
356,兆勁,-0.396,-0.985,-1.13
357,京元電子,-0.148,-0.197,-0.146
358,神腦,0.0036,0.215,0.0724
359,創見,0.118,0.254,-0.191
360,凌群,0.0938,0.0796,0.11
361,聯發科,-0.235,-0.434,-0.348
362,全新,0.0183,-0.0653,-0.173
363,飛宏,0.5,24.98,2.68
364,義隆,-0.0927,-0.126,-0.0038
365,敦吉,-0.205,-0.291,0.0061
366,建通,-0.251,-0.116,-0.682
367,光群雷,0.0452,0.784,-0.625
368,良得電,0.568,10.3,0.291
369,盟立,-0.227,-0.963,-0.66
370,麗臺,0.0354,0.353,0.184
371,冠西電,-0.538,-3.88,-0.729
372,志聖,-0.211,-0.448,-0.324
373,華經,0.0984,0.408,0.234
374,資通,0.0232,0.0186,0.206
375,立隆電,-0.186,-0.253,-0.25
376,可成,-0.444,-0.673,-0.161
377,鉅祥,-0.151,-0.271,-0.222
378,美隆電,-0.331,-4.62,-0.6
379,大毅,-0.169,-0.146,-0.407
380,敦陽科,0.0296,0.0747,0.0654
381,強茂,-0.197,-0.489,-0.533
382,連宇,0.167,0.114,-0.15
383,百容,-0.402,-1.28,-0.79
384,希華,-0.483,-0.651,-0.66
385,兆赫,0.168,0.414,-189.33
386,一詮,0.24,119.46,0.945
387,漢平,0.0358,0.178,0.137
388,瑞軒,0.0678,0.91,1.16
389,吉祥全,1.13,0.746,1.1
390,華新科,-0.0734,-0.129,0.202
391,揚博,0.11,0.105,0.165
392,普安,-0.013,-0.1,0.128
393,卓越,0.142,0.284,0.317
394,怡利電,-0.0541,-0.193,-0.329
395,宏達電,0.0542,0.0248,0.0047
396,國建,0.154,0.743,0.792
397,國產,0.159,0.205,-0.146
398,國揚,-0.629,-0.962,-0.374
399,太設,2.37,1.34,-0.924
400,全坤建,0.0139,-0.0844,-0.628
401,太子,-0.365,-0.682,-0.598
402,龍邦,1.71,0.815,1.7
403,中工,0.105,0.2,-0.239
404,新建,1.52,1.2,1.23
405,冠德,-0.0088,-0.0239,0.0262
406,京城,-0.346,-0.417,-0.562
407,宏璟,0.221,1,0.901
408,皇普,0.127,0.007,0.0135
409,華建,0.345,0.618,0.131
410,宏盛,-0.616,-0.689,-0.735
411,達欣工,-0.255,-0.326,0.0002
412,宏普,1.38,1.25,5.28
413,聯上發,-0.652,-0.849,-1.77
414,基泰,0.0192,-0.52,1.15
415,櫻花建,0.427,0.28,0.272
416,愛山林,1.36,2.17,2.39
417,興富發,0.72,1.08,-0.348
418,皇昌,1.65,1.12,1.11
419,皇翔,-0.356,-0.377,-0.598
420,根基,-0.0588,-0.0875,-0.055
421,日勝生,0.0391,0.0555,-2.25
422,華固,0.101,0.169,0.211
423,潤弘,0.022,0.006,-0.0768
424,益航,-0.165,-1.42,-277.64
425,長榮,-0.875,-0.907,-0.894
426,新興,0.171,0.121,1.25
427,裕民,-0.333,-0.376,-0.378
428,榮運,-0.0904,-0.186,-0.228
429,嘉里大榮,-0.0674,-0.0827,0.367
430,陽明,-0.973,-1.01,-0.974
431,華航,1.1,2.93,1.38
432,志信,-0.0777,-2.01,2.8
433,中航,-0.381,-0.597,-0.571
434,中櫃,-0.127,-0.22,-0.32
435,東森,-0.108,-1.43,0.835
436,萬海,-1.01,-1.05,-1.06
437,山隆,-0.141,-1.33,-0.774
438,台航,0.0762,0.0874,-0.175
439,長榮航,1.2,2.02,2.05
440,亞航,0.344,1.47,3.23
441,台灣高鐵,0.974,1.07,1.08
442,漢翔,0.497,0.852,0.368
443,台驊投控,-0.479,-0.644,-0.422
444,慧洋-KY,-0.689,-0.697,-0.691
445,宅配通,-0.175,-0.476,-0.464
446,長榮航太,0.392,0.371,0.159
447,萬企,0.466,0.574,0.121
448,華園,0.0611,0.406,-0.936
449,國賓,56.28,0.653,-0.547
450,六福,0.858,1.38,0.692
451,第一店,0.167,0.183,-0.0025
452,晶華,0.348,0.509,0.568
453,遠雄來,0.265,1.01,1.03
454,夏都,-0.203,-0.569,-0.473
455,美食-KY,0.069,0.506,0.566
456,王品,0.314,2.79,2.53
457,雄獅,4.53,2.18,3.03
458,寒舍,1.19,3.72,2.22
459,雲品,0.218,0.243,0.419
460,八方雲集,0.0106,-0.152,-0.162
461,世界健身-KY,0.0877,0.0528,0.151
462,旺旺保,3.96,1.98,1.91
463,台產,0.205,0.388,0.456
464,新產,0.159,0.428,0.454
465,中再保,5.26,159.29,7.25
466,第一保,0.0503,0.118,0.138
467,統一證,0.482,2.33,2.95
468,三商壽,0.224,0.152,0.303
469,欣欣,0.222,2.56,0.768
470,遠百,0.0634,0.237,0.426
471,匯僑,-0.254,-0.391,-0.391
472,三商,1.12,0.905,0.435
473,高林,0.0479,0.0096,-0.0842
474,特力,-0.0232,1.39,-0.395
475,統領,0.137,0.271,1.13
476,統一超,0.105,0.114,0.144
477,農林,-0.163,0.195,0.824
478,潤泰全,-0.0454,0.171,-0.384
479,鼎固-KY,0.191,0.673,-0.0463
480,淘帝-KY,0.34,0.971,-1.51
481,永邑-KY,-0.506,-1.42,-4.04
482,三商家購,0.0312,2.93,0.829
483,歐格,-0.149,-2.45,0.8
484,健和興,-0.202,-0.299,-0.393
485,豐達科,0.588,1.71,1.05
486,神基,0.178,0.282,0.46
487,晶豪科,-0.891,-3.07,-2.17
488,大立光,-0.0878,-0.126,-0.209
489,華立,-0.0072,-0.0537,-0.149
490,今皓,-0.248,-4.57,-8.74
491,晟銘電,0.36,0.777,0.15
492,聯陽,0.256,0.305,0.304
493,全漢,0.0413,-0.136,-0.171
494,嘉晶,-0.55,-0.767,-0.759
495,奇鋐,0.142,0.177,0.274
496,隆銘綠能,1.21,0.461,0.467
497,亞光,-0.153,-0.316,-0.16
498,鴻名,-0.211,-0.38,-0.302
499,威強電,-0.0257,-0.123,-0.0737
500,信邦,0.0872,0.0212,0.14
501,憶聲,0.0823,0.938,0.188
502,星通,0.854,12.32,1.96
503,禾伸堂,-0.269,-0.496,-0.309
504,盛達,0.345,-1.41,0.783
505,增你強,-0.123,-0.241,-0.362
506,零壹,0.104,0.115,0.127
507,德律,-0.316,-0.439,-0.479
508,佰鴻,-0.161,-0.418,-0.094
509,偉訓,0.373,0.765,0.643
510,威健,-0.182,-0.323,-0.537
511,聯詠,-0.0928,-0.185,-0.166
512,智原,-0.168,-0.331,-0.352
513,文曄,-0.0719,-0.304,-0.474
514,欣興,-0.597,-0.766,-0.596
515,全台,0.102,0.171,-0.0044
516,遠見,0.0141,0.0117,-0.364
517,揚智,-0.705,-7.79,-120.48
518,晶技,-0.233,-0.335,-0.389
519,科風,-0.0468,0.0986,-1.05
520,健鼎,-0.0355,-0.0214,-0.0223
521,台灣大,0.0463,0.0386,0.113
522,建碁,0.336,1.3,0.166
523,訊舟,-0.274,-2.55,-1.12
524,益登,-0.162,-0.144,-0.993
525,精金,-7.15,-10.02,-37.32
526,鈺德,0.0993,-0.0495,-0.296
527,力特,-0.284,-0.395,-0.611
528,夆典,0.0564,0.0708,-0.0104
529,立萬利,0.324,0.009,1.04
530,蔚華科,0.388,0.54,-1.23
531,富華新,-0.786,-0.87,-0.861
532,喬鼎,-0.374,-7.53,-50.55
533,立德,0.0934,0.354,1.28
534,華晶科,-0.151,-0.192,-0.232
535,銘異,-0.405,-1.26,-6.42
536,建漢,-0.965,-1.19,0.136
537,日電貿,-0.0775,-0.0216,-0.525
538,鴻碩,-0.458,-3.3,-3.51
539,聯傑,-0.256,-0.765,-0.265
540,一零四,0.0378,0.0249,0.0142
541,耀登,0.121,1.37,-0.357
542,正達,1.51,0.498,0.627
543,鈺寶-創,-0.455,-1.53,-1.34
544,景岳,-0.177,-0.887,-0.421
545,大量,-0.451,-1.43,-0.959
546,眾福科,-0.15,-0.3,-0.339
547,景碩,-0.57,-0.891,-0.993
548,全科,-0.0612,-0.0002,-0.451
549,晟鈦,0.3,0.358,0.339
550,緯創,-0.0107,-0.003,0.0277
551,虹冠電,0.885,2.62,1.22
552,昇陽,1.18,3.01,2.41
553,勝德,-0.219,-0.152,-0.313
554,昇貿,0.0235,-0.0463,-0.567
555,聯德,0.832,-0.0915,20.34
556,閎暉,-0.0143,-0.19,0.191
557,弘憶股,-0.176,-0.279,-0.29
558,同泰,-5.19,-0.0374,-0.0168
559,泰碩,-0.098,-0.0332,-0.0904
560,麗清,0.449,4.14,9.03
561,奇偶,-0.0182,-0.141,1.69
562,新日興,-0.279,-0.417,-0.513
563,明泰,-0.167,-0.516,-0.403
564,玉晶光,0.0079,0.0516,-0.0614
565,京鼎,-0.232,-0.312,-0.142
566,融程電,0.103,0.165,0.118
567,譁裕,-0.418,-26.86,-4.59
568,台端,0.113,-0.149,0.984
569,榮創,0.245,0.0408,0.282
570,創意,-0.0431,-0.0318,-0.0546
571,展達,-0.676,-1.31,-1.25
572,聯鈞,-0.377,-0.702,-1.4
573,晶睿,-0.0898,-0.459,-0.303
574,群創,1.45,0.409,0.334
575,誠研,4.27,0.356,0.137
576,維熹,-0.0967,-0.165,-0.332
577,揚明光,-0.609,-18.3,-5.44
578,華擎,0.0348,-0.032,-0.138
579,柏騰,-0.0987,-0.103,-2.93
580,安馳,-0.314,-0.353,-0.706
581,晶相光,-1.09,-3.68,-3.34
582,台勝科,-0.186,-0.213,-0.283
583,嘉澤,-0.0383,-0.0444,-0.106
584,晶彩科,-0.658,-1.08,-1.12
585,州巧,0.547,2.5,2.6
586,敦泰,1.11,1.05,1.19
587,聯穎,-0.411,-5.64,-15.04
588,嘉威,-0.0898,-0.234,-0.316
589,牧德,-0.14,-0.277,-0.287
590,聯合再生,-1.83,-5.03,-4.91
591,辛耘,0.0562,0.0105,0.144
592,通嘉,-0.352,-1.04,-0.811
593,艾笛森,0.105,0.0972,0.853
594,瑞鼎,-0.425,-0.621,-0.626
595,力銘,0.659,0.389,0.247
596,智易,0.121,0.438,0.202
597,宏致,-0.215,-6.83,-2.18
598,谷崧,50.28,0.689,0.837
599,碩天,0.182,0.564,0.285
600,洋華,0.465,0.777,0.364
601,達邁,-0.498,-1.92,-1.94
602,精聯,-0.0464,-0.715,-0.555
603,健策,-0.0655,-0.118,-0.121
604,世芯-KY,0.534,0.628,0.813
605,貿聯-KY,-0.0871,-0.236,-0.396
606,圓展,-0.102,-0.637,-0.249
607,TPK-KY,-0.215,-0.991,-0.617
608,新至陞,-0.017,0.0323,-0.314
609,達能,0.331,-0.359,0.0474
610,海華,0.0192,0.0946,0.13
611,大眾控,0.233,0.539,-0.303
612,大聯大,-0.142,-0.293,-0.229
613,欣陸,-0.154,-0.333,-0.406
614,合勤控,-0.0442,-0.302,-0.171
615,永信,-0.0522,0.228,-0.014
616,神達,0.17,1.06,-0.808
617,上緯投控,-0.127,-0.514,0.391
618,日月光投控,-0.32,-0.497,-0.489
619,永崴投控,0.258,0.836,0.0724
620,富采,-0.766,-7.59,-179.38
621,定穎投控,0.423,0.969,0.834
622,佳醫,0.107,0.159,0.119
623,雃博,0.0671,0.0502,-0.0572
624,懷特,0.186,0.223,0.407
625,旭富,0.203,0.347,-0.0455
626,亞諾法,-0.137,-0.267,-0.416
627,麗豐-KY,0.128,0.0152,0.498
628,國光生,-0.539,-8.72,-3.2
629,全宇生技-KY,-0.483,-0.715,-0.622
630,訊映,-0.395,-1.12,-0.979
631,承業醫,0.184,0.289,0.175
632,佐登-KY,0.0639,0.524,-1.02
633,炎洲,-0.159,-0.36,-0.228
634,如興,0.208,0.916,0.874
635,利勤,0.87,0.861,0.474
636,廣越,-0.239,-0.394,-0.376
637,冠星-KY,-0.0192,-0.0786,-0.0766
638,宜新實業,-0.721,-0.87,-0.769
639,東台,-0.148,-1.96,-0.449
640,瑞智,0.116,0.6,0.0911
641,拓凱,-0.219,-0.33,-0.374
642,全球傳動,-0.554,-1.19,-1.36
643,銘鈺,-0.211,-0.475,-0.487
644,智伸科,-0.382,-0.557,-0.633
645,力達-KY,-0.0142,-0.0598,-0.0988
646,氣立,-0.398,-1.11,-1.2
647,永新-KY,0.103,-0.0609,-0.255
648,強信-KY,-0.417,-0.797,-0.714
649,穎漢,0.0665,0.0426,-5.56
650,元翎,-1.42,-6.73,-7.65
651,時碩工業,-0.178,-0.459,-0.38
652,六方科-KY,-0.297,-0.687,-0.677
653,鈞興-KY,-0.038,0.0767,-0.22
654,駐龍,0.391,0.563,0.318
655,大銀微系統,-0.401,-0.931,-0.984
656,光隆精密-KY,0.507,1.02,0.796
657,台灣精銳,-0.143,-0.215,-0.223
658,玖鼎電力,0.389,0.503,0.519
659,德淵,0.0211,-0.347,2.78
660,國精化,-0.308,-0.495,-0.47
661,泰博,-0.633,-0.766,-0.699
662,華廣,-0.287,-1.1,-0.932
663,康普,-0.828,-1.16,-1.2
664,台耀,0.383,3.13,-0.692
665,三福化,-0.32,-0.4,-0.477
666,材料-KY,3.09,4.62,3.14
667,雙鍵,-0.381,-4.76,-2.42
668,南寶,0.228,0.625,0.394
669,上品,-0.0439,-0.0606,-0.0522
670,望隼,0.47,1.27,0.796
671,日成-KY,-0.866,-5.22,-5.86
672,遠傳,0.0581,0.113,0.164
673,正文,-0.0328,-0.363,-0.0835
674,聯德控股-KY,-0.0475,-0.29,-0.334
675,致伸,-0.128,-0.18,-0.0938
676,事欣科,0.0451,0.767,-0.193
677,新唐,-0.18,-0.623,-0.427
678,泰鼎-KY,-0.637,-1.6,-1.91
679,燦星網,-0.0079,-0.0819,0.0919
680,太極,0.57,-0.159,-1.26
681,茂林-KY,-0.517,-0.811,-0.681
682,和碩,-0.193,-0.41,0.0409
683,嘉彰,-0.116,-0.132,-0.0463
684,康控-KY,0.954,0.702,0.807
685,有成精密,-0.351,-0.551,-0.621
686,凌通,-0.431,-0.734,-0.71
687,光鋐,-0.827,-0.657,-0.919
688,臻鼎-KY,-0.312,-0.592,-0.564
689,誠美材,-0.53,-34.22,-2.26
690,天鈺,-0.261,-0.394,-0.3
691,十銓,1.07,7.07,503.99
692,立積,-0.242,-16.29,-5.04
693,佳凌,-0.625,-0.37,-1.06
694,眾達-KY,-0.552,-0.695,-0.197
695,榮科,-1.14,-2.36,-1.66
696,傳奇,-0.0656,0.401,1.95
697,鑫禾,-0.303,-1.23,-0.981
698,三星,-0.129,-0.0628,-0.0597
699,訊連,0.0911,-0.239,0.209
700,科嘉-KY,0.0906,-0.163,-0.405
701,全訊,0.232,0.276,0.75
702,東科-KY,0.115,0.72,0.442
703,達興材料,0.187,0.394,0.228
